instrument,commodity_label,report_date,cot_score_base,cot_score,cot_signal,confidence,score_status,base_direction,legacy_direction,legacy_confirmation_status,managed_money_crowding_score,producer_merchant_pressure_score,positioning_impulse_score,managed_money_net,managed_money_net_pct_oi,managed_money_net_percentile,managed_money_net_zscore,producer_merchant_net,producer_merchant_net_pct_oi,producer_merchant_net_percentile,producer_merchant_net_zscore,managed_money_net_chg_1w,producer_merchant_net_chg_1w,legacy_noncommercial_net_percentile,legacy_commercial_net_percentile,summary,source_mapping_status,market_and_exchange_name,source_id,asset_class,cot_score_base_raw,legacy_confirmation_interpretation,legacy_conflict_threshold,legacy_confirmation_score,legacy_used_as,managed_money_long,managed_money_short,producer_merchant_long,producer_merchant_short,open_interest,legacy_commercial_net,legacy_noncommercial_net,managed_money,producer_merchant,positioning_impulse,legacy_confirmation,drivers,missing_fields,legacy_market_and_exchange_name,source_mapping_note,raw_disagg_source_url,raw_legacy_source_url,scored_at
NG,Natural Gas,2023-05-30,-1.0,-1.0,mildly_bearish,low,PARTIAL_DATA,bearish,neutral,NEUTRAL,-2,2,0,-45283.0,-0.03330866732965746,1.0,,-116236.0,-0.0854993321054273,1.0,,,,1.0,1.0,"NG shows mild bearish COT pressure with final score -1.00 and base score -1.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,CFTC_COT_SCORING_V1_2,ENERGY,-1.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,214771.0,260054.0,207453.0,323689.0,1359496.0,74969.0,-106170.0,"{""net"": -45283.0, ""net_pct_oi"": -0.03330866732965746, ""percentile"": 1.0, ""zscore"": null, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -116236.0, ""net_pct_oi"": -0.0854993321054273, ""percentile"": 1.0, ""zscore"": null, ""score"": 2, ""interpretation"": ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support.""}","{""managed_money_net_chg_1w"": null, ""producer_merchant_net_chg_1w"": null, ""score"": 0, ""interpretation"": ""Positioning impulse is neutral because 1-week change data is missing.""}","{""commercial_net_percentile"": 1.0, ""noncommercial_net_percentile"": 1.0, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is -0.033."", ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support."", ""Producer/Merchant net/open-interest ratio is -0.085."", ""1-week change unavailable"", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning suggests reduced commercial pressure.""]","[""producer_merchant_net_chg_1w"", ""managed_money_net_chg_1w"", ""producer_merchant_net_zscore"", ""managed_money_net_zscore""]",NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
NG,Natural Gas,2023-06-06,4.0,4.0,bullish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bullish,bullish,CONFIRMED,0,2,1,-67284.0,-0.048410491961803456,0.5,-0.7071067811865475,-101458.0,-0.0729985092066562,1.0,0.7071067811865476,-22001.0,14778.0,0.5,1.0,NG shows bullish COT pressure with final score 4.00 and base score 4.00. Managed Money positioning is near its historical middle range.,STRICT,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,CFTC_COT_SCORING_V1_2,ENERGY,4.0,Legacy COT confirms bullish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,217965.0,285249.0,205538.0,306996.0,1389864.0,92364.0,-126852.0,"{""net"": -67284.0, ""net_pct_oi"": -0.048410491961803456, ""percentile"": 0.5, ""zscore"": -0.7071067811865475, ""score"": 0, ""interpretation"": ""Managed Money positioning is near its historical middle range.""}","{""net"": -101458.0, ""net_pct_oi"": -0.0729985092066562, ""percentile"": 1.0, ""zscore"": 0.7071067811865476, ""score"": 2, ""interpretation"": ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support.""}","{""managed_money_net_chg_1w"": -22001.0, ""producer_merchant_net_chg_1w"": 14778.0, ""score"": 1, ""interpretation"": ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure.""}","{""commercial_net_percentile"": 1.0, ""noncommercial_net_percentile"": 0.5, ""direction"": ""bullish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bullish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money positioning is near its historical middle range."", ""Managed Money net/open-interest ratio is -0.048."", ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support."", ""Producer/Merchant net/open-interest ratio is -0.073."", ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure."", ""Managed Money net change 1w = -22001."", ""Producer/Merchant net change 1w = 14778."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning suggests reduced commercial pressure.""]",[],NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
NG,Natural Gas,2023-06-13,-1.0,-1.0,mildly_bearish,medium,ACCEPTED_LEGACY_NEUTRAL,bearish,neutral,NEUTRAL,0,0,-1,-58643.0,-0.043692937216222784,0.6666666666666666,-0.14190952375303725,-105829.0,-0.07884964706197911,0.6666666666666666,0.26502738207954246,8641.0,-4371.0,0.6666666666666666,0.6666666666666666,NG shows mild bearish COT pressure with final score -1.00 and base score -1.00. Managed Money positioning is near its historical middle range.,STRICT,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,CFTC_COT_SCORING_V1_2,ENERGY,-1.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,215720.0,274363.0,194715.0,300544.0,1342162.0,87119.0,-122981.0,"{""net"": -58643.0, ""net_pct_oi"": -0.043692937216222784, ""percentile"": 0.6666666666666666, ""zscore"": -0.14190952375303725, ""score"": 0, ""interpretation"": ""Managed Money positioning is near its historical middle range.""}","{""net"": -105829.0, ""net_pct_oi"": -0.07884964706197911, ""percentile"": 0.6666666666666666, ""zscore"": 0.26502738207954246, ""score"": 0, ""interpretation"": ""Producer/Merchant positioning is near its historical middle range.""}","{""managed_money_net_chg_1w"": 8641.0, ""producer_merchant_net_chg_1w"": -4371.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.6666666666666666, ""noncommercial_net_percentile"": 0.6666666666666666, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money positioning is near its historical middle range."", ""Managed Money net/open-interest ratio is -0.044."", ""Producer/Merchant positioning is near its historical middle range."", ""Producer/Merchant net/open-interest ratio is -0.079."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 8641."", ""Producer/Merchant net change 1w = -4371."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
NG,Natural Gas,2023-06-20,0.0,0.0,neutral,low,ACCEPTED_BASE_NEUTRAL,neutral,neutral,NOT_APPLICABLE,-2,2,1,-31588.0,-0.024232140035195977,1.0,1.2228765146376175,-99734.0,-0.07650906212074952,1.0,0.820957466588212,27055.0,6095.0,0.75,0.5,"NG shows neutral COT pressure with final score 0.00 and base score 0.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,CFTC_COT_SCORING_V1_2,ENERGY,0.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,204326.0,235914.0,194769.0,294503.0,1303558.0,79735.0,-109315.0,"{""net"": -31588.0, ""net_pct_oi"": -0.024232140035195977, ""percentile"": 1.0, ""zscore"": 1.2228765146376175, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -99734.0, ""net_pct_oi"": -0.07650906212074952, ""percentile"": 1.0, ""zscore"": 0.820957466588212, ""score"": 2, ""interpretation"": ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support.""}","{""managed_money_net_chg_1w"": 27055.0, ""producer_merchant_net_chg_1w"": 6095.0, ""score"": 1, ""interpretation"": ""Both Managed Money and Producer/Merchant net positions increased, indicating bullish positioning impulse.""}","{""commercial_net_percentile"": 0.5, ""noncommercial_net_percentile"": 0.75, ""direction"": ""neutral"", ""status"": ""NOT_APPLICABLE"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is -0.024."", ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support."", ""Producer/Merchant net/open-interest ratio is -0.077."", ""Both Managed Money and Producer/Merchant net positions increased, indicating bullish positioning impulse."", ""Managed Money net change 1w = 27055."", ""Producer/Merchant net change 1w = 6095."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
NG,Natural Gas,2023-06-27,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,-1,-1,-21353.0,-0.017331825771036136,1.0,1.245292401499159,-115401.0,-0.09366880652851314,0.4,-0.9940911789618815,10235.0,-15667.0,1.0,0.2,"NG shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,CFTC_COT_SCORING_V1_2,ENERGY,-6.5,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,202042.0,223395.0,167638.0,283039.0,1232011.0,63581.0,-92800.0,"{""net"": -21353.0, ""net_pct_oi"": -0.017331825771036136, ""percentile"": 1.0, ""zscore"": 1.245292401499159, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -115401.0, ""net_pct_oi"": -0.09366880652851314, ""percentile"": 0.4, ""zscore"": -0.9940911789618815, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": 10235.0, ""producer_merchant_net_chg_1w"": -15667.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.2, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is -0.017."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.094."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 10235."", ""Producer/Merchant net change 1w = -15667."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning is not extreme.""]",[],NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
NG,Natural Gas,2023-07-03,-5.0,-5.0,bearish_positioning,medium,ACCEPTED_LEGACY_NEUTRAL,bearish,neutral,NEUTRAL,-2,-1,-1,141.0,0.00011357970193786304,1.0,1.5033645860067752,-118991.0,-0.0958507965481437,0.16666666666666666,-1.1316466163701924,21494.0,-3590.0,0.8333333333333334,0.3333333333333333,"NG shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,CFTC_COT_SCORING_V1_2,ENERGY,-6.5,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,208742.0,208601.0,170941.0,289932.0,1241419.0,68313.0,-98775.0,"{""net"": 141.0, ""net_pct_oi"": 0.00011357970193786304, ""percentile"": 1.0, ""zscore"": 1.5033645860067752, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -118991.0, ""net_pct_oi"": -0.0958507965481437, ""percentile"": 0.16666666666666666, ""zscore"": -1.1316466163701924, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": 21494.0, ""producer_merchant_net_chg_1w"": -3590.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.3333333333333333, ""noncommercial_net_percentile"": 0.8333333333333334, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is 0.000."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.096."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 21494."", ""Producer/Merchant net change 1w = -3590."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
NG,Natural Gas,2023-07-11,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,-1,-1,11436.0,0.009246427479903816,1.0,1.427452548859209,-119684.0,-0.0967689250179091,0.14285714285714285,-1.0192905493439235,11295.0,-693.0,1.0,0.14285714285714285,"NG shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,CFTC_COT_SCORING_V1_2,ENERGY,-6.5,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,207939.0,196503.0,170660.0,290344.0,1236802.0,55554.0,-86755.0,"{""net"": 11436.0, ""net_pct_oi"": 0.009246427479903816, ""percentile"": 1.0, ""zscore"": 1.427452548859209, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -119684.0, ""net_pct_oi"": -0.0967689250179091, ""percentile"": 0.14285714285714285, ""zscore"": -1.0192905493439235, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": 11295.0, ""producer_merchant_net_chg_1w"": -693.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.14285714285714285, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is 0.009."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.097."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 11295."", ""Producer/Merchant net change 1w = -693."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning suggests strong commercial short pressure.""]",[],NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
NG,Natural Gas,2023-07-18,-3.0,-3.0,bearish_positioning,medium,ACCEPTED_LEGACY_NEUTRAL,bearish,neutral,NEUTRAL,-1,0,-1,-15404.0,-0.012479988592687653,0.75,0.4739728818979815,-115526.0,-0.09359667373142261,0.5,-0.48966549350541105,-26840.0,4158.0,0.75,0.375,NG shows bearish COT pressure with final score -3.00 and base score -3.00. Managed Money is moderately net long versus history.,STRICT,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,CFTC_COT_SCORING_V1_2,ENERGY,-3.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,203740.0,219144.0,174071.0,289597.0,1234296.0,65084.0,-95762.0,"{""net"": -15404.0, ""net_pct_oi"": -0.012479988592687653, ""percentile"": 0.75, ""zscore"": 0.4739728818979815, ""score"": -1, ""interpretation"": ""Managed Money is moderately net long versus history.""}","{""net"": -115526.0, ""net_pct_oi"": -0.09359667373142261, ""percentile"": 0.5, ""zscore"": -0.48966549350541105, ""score"": 0, ""interpretation"": ""Producer/Merchant positioning is near its historical middle range.""}","{""managed_money_net_chg_1w"": -26840.0, ""producer_merchant_net_chg_1w"": 4158.0, ""score"": -1, ""interpretation"": ""Managed Money net fell from a high percentile, suggesting long-liquidation risk.""}","{""commercial_net_percentile"": 0.375, ""noncommercial_net_percentile"": 0.75, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is moderately net long versus history."", ""Managed Money net/open-interest ratio is -0.012."", ""Producer/Merchant positioning is near its historical middle range."", ""Producer/Merchant net/open-interest ratio is -0.094."", ""Managed Money net fell from a high percentile, suggesting long-liquidation risk."", ""Managed Money net change 1w = -26840."", ""Producer/Merchant net change 1w = 4158."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
NG,Natural Gas,2023-07-25,0.5,0.5,neutral,low,ACCEPTED_BASE_NEUTRAL,neutral,neutral,NOT_APPLICABLE,-1,1,1,3545.0,0.002989951401692591,0.8888888888888888,1.0186439367573519,-103958.0,-0.08768106285392337,0.7777777777777778,0.8598034953954383,18949.0,11568.0,0.6666666666666666,0.5555555555555556,NG shows neutral COT pressure with final score 0.50 and base score 0.50. Managed Money is moderately net long versus history.,STRICT,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,CFTC_COT_SCORING_V1_2,ENERGY,0.5,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,204535.0,200990.0,171735.0,275693.0,1185638.0,70972.0,-97121.0,"{""net"": 3545.0, ""net_pct_oi"": 0.002989951401692591, ""percentile"": 0.8888888888888888, ""zscore"": 1.0186439367573519, ""score"": -1, ""interpretation"": ""Managed Money is moderately net long versus history.""}","{""net"": -103958.0, ""net_pct_oi"": -0.08768106285392337, ""percentile"": 0.7777777777777778, ""zscore"": 0.8598034953954383, ""score"": 1, ""interpretation"": ""Producer/Merchant net position is above normal, suggesting easing commercial pressure.""}","{""managed_money_net_chg_1w"": 18949.0, ""producer_merchant_net_chg_1w"": 11568.0, ""score"": 1, ""interpretation"": ""Both Managed Money and Producer/Merchant net positions increased, indicating bullish positioning impulse.""}","{""commercial_net_percentile"": 0.5555555555555556, ""noncommercial_net_percentile"": 0.6666666666666666, ""direction"": ""neutral"", ""status"": ""NOT_APPLICABLE"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is moderately net long versus history."", ""Managed Money net/open-interest ratio is 0.003."", ""Producer/Merchant net position is above normal, suggesting easing commercial pressure."", ""Producer/Merchant net/open-interest ratio is -0.088."", ""Both Managed Money and Producer/Merchant net positions increased, indicating bullish positioning impulse."", ""Managed Money net change 1w = 18949."", ""Producer/Merchant net change 1w = 11568."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
NG,Natural Gas,2023-08-01,4.0,4.0,bullish_positioning,medium,ACCEPTED_LEGACY_NEUTRAL,bullish,neutral,NEUTRAL,0,2,1,-16891.0,-0.014003946408436692,0.6,0.2734243589669468,-100346.0,-0.08319460104795384,0.9,1.1496675661460884,-20436.0,3612.0,0.4,0.7,NG shows bullish COT pressure with final score 4.00 and base score 4.00. Managed Money positioning is near its historical middle range.,STRICT,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,CFTC_COT_SCORING_V1_2,ENERGY,4.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,209163.0,226054.0,167484.0,267830.0,1206160.0,77946.0,-107021.0,"{""net"": -16891.0, ""net_pct_oi"": -0.014003946408436692, ""percentile"": 0.6, ""zscore"": 0.2734243589669468, ""score"": 0, ""interpretation"": ""Managed Money positioning is near its historical middle range.""}","{""net"": -100346.0, ""net_pct_oi"": -0.08319460104795384, ""percentile"": 0.9, ""zscore"": 1.1496675661460884, ""score"": 2, ""interpretation"": ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support.""}","{""managed_money_net_chg_1w"": -20436.0, ""producer_merchant_net_chg_1w"": 3612.0, ""score"": 1, ""interpretation"": ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure.""}","{""commercial_net_percentile"": 0.7, ""noncommercial_net_percentile"": 0.4, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money positioning is near its historical middle range."", ""Managed Money net/open-interest ratio is -0.014."", ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support."", ""Producer/Merchant net/open-interest ratio is -0.083."", ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure."", ""Managed Money net change 1w = -20436."", ""Producer/Merchant net change 1w = 3612."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
