instrument,commodity_label,report_date,cot_score_base,cot_score,cot_signal,confidence,score_status,base_direction,legacy_direction,legacy_confirmation_status,managed_money_crowding_score,producer_merchant_pressure_score,positioning_impulse_score,managed_money_net,managed_money_net_pct_oi,managed_money_net_percentile,managed_money_net_zscore,producer_merchant_net,producer_merchant_net_pct_oi,producer_merchant_net_percentile,producer_merchant_net_zscore,managed_money_net_chg_1w,producer_merchant_net_chg_1w,legacy_noncommercial_net_percentile,legacy_commercial_net_percentile,summary,source_mapping_status,market_and_exchange_name,source_id,asset_class,cot_score_base_raw,legacy_confirmation_interpretation,legacy_conflict_threshold,legacy_confirmation_score,legacy_used_as,managed_money_long,managed_money_short,producer_merchant_long,producer_merchant_short,open_interest,legacy_commercial_net,legacy_noncommercial_net,managed_money,producer_merchant,positioning_impulse,legacy_confirmation,drivers,missing_fields,legacy_market_and_exchange_name,source_mapping_note,raw_disagg_source_url,raw_legacy_source_url,scored_at
ZC,Corn,2023-05-30,-1.0,-1.0,mildly_bearish,low,PARTIAL_DATA,bearish,neutral,NEUTRAL,-2,2,0,-46846.0,-0.035510781114383286,1.0,,-172616.0,-0.1308485034547322,1.0,,,,1.0,1.0,"ZC shows mild bearish COT pressure with final score -1.00 and base score -1.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,CORN - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-1.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,176111.0,222957.0,399553.0,572169.0,1319205.0,72210.0,-20407.0,"{""net"": -46846.0, ""net_pct_oi"": -0.035510781114383286, ""percentile"": 1.0, ""zscore"": null, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -172616.0, ""net_pct_oi"": -0.1308485034547322, ""percentile"": 1.0, ""zscore"": null, ""score"": 2, ""interpretation"": ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support.""}","{""managed_money_net_chg_1w"": null, ""producer_merchant_net_chg_1w"": null, ""score"": 0, ""interpretation"": ""Positioning impulse is neutral because 1-week change data is missing.""}","{""commercial_net_percentile"": 1.0, ""noncommercial_net_percentile"": 1.0, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is -0.036."", ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support."", ""Producer/Merchant net/open-interest ratio is -0.131."", ""1-week change unavailable"", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning suggests reduced commercial pressure.""]","[""producer_merchant_net_chg_1w"", ""managed_money_net_chg_1w"", ""producer_merchant_net_zscore"", ""managed_money_net_zscore""]",CORN - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZC,Corn,2023-06-06,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,0,-1,-44546.0,-0.033692423704956447,1.0,0.7071067811865476,-176706.0,-0.13365180764171944,0.5,-0.7071067811865476,2300.0,-4090.0,1.0,0.5,"ZC shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,CORN - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-5.0,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,166101.0,210647.0,387359.0,564065.0,1322137.0,66120.0,-14771.0,"{""net"": -44546.0, ""net_pct_oi"": -0.033692423704956447, ""percentile"": 1.0, ""zscore"": 0.7071067811865476, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -176706.0, ""net_pct_oi"": -0.13365180764171944, ""percentile"": 0.5, ""zscore"": -0.7071067811865476, ""score"": 0, ""interpretation"": ""Producer/Merchant positioning is near its historical middle range.""}","{""managed_money_net_chg_1w"": 2300.0, ""producer_merchant_net_chg_1w"": -4090.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.5, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is -0.034."", ""Producer/Merchant positioning is near its historical middle range."", ""Producer/Merchant net/open-interest ratio is -0.134."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 2300."", ""Producer/Merchant net change 1w = -4090."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning is not extreme.""]",[],CORN - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZC,Corn,2023-06-13,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,-1,-1,1855.0,0.001432159271552067,1.0,1.153688805363495,-221870.0,-0.17129551351981515,0.3333333333333333,-1.1514640893853743,46401.0,-45164.0,1.0,0.3333333333333333,"ZC shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,CORN - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-6.5,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,174652.0,172797.0,378613.0,600483.0,1295247.0,12850.0,45092.0,"{""net"": 1855.0, ""net_pct_oi"": 0.001432159271552067, ""percentile"": 1.0, ""zscore"": 1.153688805363495, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -221870.0, ""net_pct_oi"": -0.17129551351981515, ""percentile"": 0.3333333333333333, ""zscore"": -1.1514640893853743, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": 46401.0, ""producer_merchant_net_chg_1w"": -45164.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.3333333333333333, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is 0.001."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.171."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 46401."", ""Producer/Merchant net change 1w = -45164."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning is not extreme.""]",[],CORN - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZC,Corn,2023-06-20,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,-1,-1,66061.0,0.05119626643355126,1.0,1.3586531011361636,-296892.0,-0.23008676729068436,0.25,-1.3834068060102773,64206.0,-75022.0,1.0,0.25,"ZC shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,CORN - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-6.5,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,221039.0,154978.0,348724.0,645616.0,1290348.0,-58030.0,118773.0,"{""net"": 66061.0, ""net_pct_oi"": 0.05119626643355126, ""percentile"": 1.0, ""zscore"": 1.3586531011361636, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -296892.0, ""net_pct_oi"": -0.23008676729068436, ""percentile"": 0.25, ""zscore"": -1.3834068060102773, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": 64206.0, ""producer_merchant_net_chg_1w"": -75022.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.25, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is 0.051."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.230."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 64206."", ""Producer/Merchant net change 1w = -75022."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning is not extreme.""]",[],CORN - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZC,Corn,2023-06-27,-4.5,-4.5,bearish_positioning,medium,ACCEPTED_LEGACY_NEUTRAL,bearish,neutral,NEUTRAL,-2,-1,1,66761.0,0.05357703188010352,1.0,1.0340859659580615,-280123.0,-0.22480428545633288,0.4,-0.8792554961252494,700.0,16769.0,0.8,0.2,"ZC shows bearish COT pressure with final score -4.50 and base score -4.50. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,CORN - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-4.5,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,188486.0,121725.0,353822.0,633945.0,1246075.0,-60029.0,113438.0,"{""net"": 66761.0, ""net_pct_oi"": 0.05357703188010352, ""percentile"": 1.0, ""zscore"": 1.0340859659580615, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -280123.0, ""net_pct_oi"": -0.22480428545633288, ""percentile"": 0.4, ""zscore"": -0.8792554961252494, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": 700.0, ""producer_merchant_net_chg_1w"": 16769.0, ""score"": 1, ""interpretation"": ""Both Managed Money and Producer/Merchant net positions increased, indicating bullish positioning impulse.""}","{""commercial_net_percentile"": 0.2, ""noncommercial_net_percentile"": 0.8, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is 0.054."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.225."", ""Both Managed Money and Producer/Merchant net positions increased, indicating bullish positioning impulse."", ""Managed Money net change 1w = 700."", ""Producer/Merchant net change 1w = 16769."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],CORN - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZC,Corn,2023-07-03,1.0,1.0,mildly_bullish,medium,ACCEPTED_LEGACY_NEUTRAL,bullish,neutral,NEUTRAL,0,0,1,-7359.0,-0.005901443724573631,0.5,-0.2633501944650958,-210525.0,-0.16882748201058073,0.6666666666666666,0.3066928684957326,-74120.0,69598.0,0.6666666666666666,0.5,ZC shows mild bullish COT pressure with final score 1.00 and base score 1.00. Managed Money positioning is near its historical middle range.,STRICT,CORN - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,1.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,161939.0,169298.0,368816.0,579341.0,1246983.0,524.0,46403.0,"{""net"": -7359.0, ""net_pct_oi"": -0.005901443724573631, ""percentile"": 0.5, ""zscore"": -0.2633501944650958, ""score"": 0, ""interpretation"": ""Managed Money positioning is near its historical middle range.""}","{""net"": -210525.0, ""net_pct_oi"": -0.16882748201058073, ""percentile"": 0.6666666666666666, ""zscore"": 0.3066928684957326, ""score"": 0, ""interpretation"": ""Producer/Merchant positioning is near its historical middle range.""}","{""managed_money_net_chg_1w"": -74120.0, ""producer_merchant_net_chg_1w"": 69598.0, ""score"": 1, ""interpretation"": ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure.""}","{""commercial_net_percentile"": 0.5, ""noncommercial_net_percentile"": 0.6666666666666666, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money positioning is near its historical middle range."", ""Managed Money net/open-interest ratio is -0.006."", ""Producer/Merchant positioning is near its historical middle range."", ""Producer/Merchant net/open-interest ratio is -0.169."", ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure."", ""Managed Money net change 1w = -74120."", ""Producer/Merchant net change 1w = 69598."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],CORN - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZC,Corn,2023-07-11,5.0,5.0,bullish_positioning,medium,ACCEPTED_LEGACY_NEUTRAL,bullish,neutral,NEUTRAL,1,2,1,-56167.0,-0.04522521216805965,0.14285714285714285,-1.0267518475499975,-166770.0,-0.1342818493647036,1.0,0.9742792681140263,-48808.0,43755.0,0.42857142857142855,0.7142857142857143,ZC shows bullish COT pressure with final score 5.00 and base score 5.00. Managed Money is moderately net short versus history.,STRICT,CORN - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,6.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,154200.0,210367.0,369274.0,536044.0,1241940.0,35215.0,7811.0,"{""net"": -56167.0, ""net_pct_oi"": -0.04522521216805965, ""percentile"": 0.14285714285714285, ""zscore"": -1.0267518475499975, ""score"": 1, ""interpretation"": ""Managed Money is moderately net short versus history.""}","{""net"": -166770.0, ""net_pct_oi"": -0.1342818493647036, ""percentile"": 1.0, ""zscore"": 0.9742792681140263, ""score"": 2, ""interpretation"": ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support.""}","{""managed_money_net_chg_1w"": -48808.0, ""producer_merchant_net_chg_1w"": 43755.0, ""score"": 1, ""interpretation"": ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure.""}","{""commercial_net_percentile"": 0.7142857142857143, ""noncommercial_net_percentile"": 0.42857142857142855, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is moderately net short versus history."", ""Managed Money net/open-interest ratio is -0.045."", ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support."", ""Producer/Merchant net/open-interest ratio is -0.134."", ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure."", ""Managed Money net change 1w = -48808."", ""Producer/Merchant net change 1w = 43755."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],CORN - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZC,Corn,2023-07-18,2.5,2.5,mildly_bullish,medium,ACCEPTED_LEGACY_NEUTRAL,bullish,neutral,NEUTRAL,1,1,-1,-46150.0,-0.03590947854612909,0.375,-0.7508024392704322,-171867.0,-0.13373032176137742,0.875,0.786122881287543,10017.0,-5097.0,0.5,0.625,ZC shows mild bullish COT pressure with final score 2.50 and base score 2.50. Managed Money is moderately net short versus history.,STRICT,CORN - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,2.5,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,152673.0,198823.0,391882.0,563749.0,1285176.0,31268.0,19870.0,"{""net"": -46150.0, ""net_pct_oi"": -0.03590947854612909, ""percentile"": 0.375, ""zscore"": -0.7508024392704322, ""score"": 1, ""interpretation"": ""Managed Money is moderately net short versus history.""}","{""net"": -171867.0, ""net_pct_oi"": -0.13373032176137742, ""percentile"": 0.875, ""zscore"": 0.786122881287543, ""score"": 1, ""interpretation"": ""Producer/Merchant net position is above normal, suggesting easing commercial pressure.""}","{""managed_money_net_chg_1w"": 10017.0, ""producer_merchant_net_chg_1w"": -5097.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.625, ""noncommercial_net_percentile"": 0.5, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is moderately net short versus history."", ""Managed Money net/open-interest ratio is -0.036."", ""Producer/Merchant net position is above normal, suggesting easing commercial pressure."", ""Producer/Merchant net/open-interest ratio is -0.134."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 10017."", ""Producer/Merchant net change 1w = -5097."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],CORN - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZC,Corn,2023-07-25,-3.0,-3.0,bearish_positioning,medium,ACCEPTED_LEGACY_NEUTRAL,bearish,neutral,NEUTRAL,-1,0,-1,25054.0,0.019570272619974738,0.7777777777777778,0.6118969163606843,-207038.0,-0.1617222839743885,0.5555555555555556,0.09508018103732604,71204.0,-35171.0,0.7777777777777778,0.3333333333333333,ZC shows bearish COT pressure with final score -3.00 and base score -3.00. Managed Money is moderately net long versus history.,STRICT,CORN - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-3.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,180113.0,155059.0,384081.0,591119.0,1280207.0,-6966.0,70476.0,"{""net"": 25054.0, ""net_pct_oi"": 0.019570272619974738, ""percentile"": 0.7777777777777778, ""zscore"": 0.6118969163606843, ""score"": -1, ""interpretation"": ""Managed Money is moderately net long versus history.""}","{""net"": -207038.0, ""net_pct_oi"": -0.1617222839743885, ""percentile"": 0.5555555555555556, ""zscore"": 0.09508018103732604, ""score"": 0, ""interpretation"": ""Producer/Merchant positioning is near its historical middle range.""}","{""managed_money_net_chg_1w"": 71204.0, ""producer_merchant_net_chg_1w"": -35171.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.3333333333333333, ""noncommercial_net_percentile"": 0.7777777777777778, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is moderately net long versus history."", ""Managed Money net/open-interest ratio is 0.020."", ""Producer/Merchant positioning is near its historical middle range."", ""Producer/Merchant net/open-interest ratio is -0.162."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 71204."", ""Producer/Merchant net change 1w = -35171."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],CORN - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZC,Corn,2023-08-01,-1.0,-1.0,mildly_bearish,medium,ACCEPTED_LEGACY_NEUTRAL,bearish,neutral,NEUTRAL,0,0,-1,12675.0,0.009617923712222616,0.7,0.3378136967969549,-211215.0,-0.16027217016781853,0.4,0.007673881371554289,-12379.0,-4177.0,0.8,0.3,ZC shows mild bearish COT pressure with final score -1.00 and base score -1.00. Managed Money positioning is near its historical middle range.,STRICT,CORN - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-1.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,188722.0,176047.0,390366.0,601581.0,1317852.0,-18222.0,80074.0,"{""net"": 12675.0, ""net_pct_oi"": 0.009617923712222616, ""percentile"": 0.7, ""zscore"": 0.3378136967969549, ""score"": 0, ""interpretation"": ""Managed Money positioning is near its historical middle range.""}","{""net"": -211215.0, ""net_pct_oi"": -0.16027217016781853, ""percentile"": 0.4, ""zscore"": 0.007673881371554289, ""score"": 0, ""interpretation"": ""Producer/Merchant positioning is near its historical middle range.""}","{""managed_money_net_chg_1w"": -12379.0, ""producer_merchant_net_chg_1w"": -4177.0, ""score"": -1, ""interpretation"": ""Both Managed Money and Producer/Merchant net positions fell, indicating bearish positioning impulse.""}","{""commercial_net_percentile"": 0.3, ""noncommercial_net_percentile"": 0.8, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money positioning is near its historical middle range."", ""Managed Money net/open-interest ratio is 0.010."", ""Producer/Merchant positioning is near its historical middle range."", ""Producer/Merchant net/open-interest ratio is -0.160."", ""Both Managed Money and Producer/Merchant net positions fell, indicating bearish positioning impulse."", ""Managed Money net change 1w = -12379."", ""Producer/Merchant net change 1w = -4177."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],CORN - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
