instrument,commodity_label,report_date,cot_score_base,cot_score,cot_signal,confidence,score_status,base_direction,legacy_direction,legacy_confirmation_status,managed_money_crowding_score,producer_merchant_pressure_score,positioning_impulse_score,managed_money_net,managed_money_net_pct_oi,managed_money_net_percentile,managed_money_net_zscore,producer_merchant_net,producer_merchant_net_pct_oi,producer_merchant_net_percentile,producer_merchant_net_zscore,managed_money_net_chg_1w,producer_merchant_net_chg_1w,legacy_noncommercial_net_percentile,legacy_commercial_net_percentile,summary,source_mapping_status,market_and_exchange_name,source_id,asset_class,cot_score_base_raw,legacy_confirmation_interpretation,legacy_conflict_threshold,legacy_confirmation_score,legacy_used_as,managed_money_long,managed_money_short,producer_merchant_long,producer_merchant_short,open_interest,legacy_commercial_net,legacy_noncommercial_net,managed_money,producer_merchant,positioning_impulse,legacy_confirmation,drivers,missing_fields,legacy_market_and_exchange_name,source_mapping_note,raw_disagg_source_url,raw_legacy_source_url,scored_at
ZS,Soybeans,2023-05-30,-1.0,-1.0,mildly_bearish,low,PARTIAL_DATA,bearish,neutral,NEUTRAL,-2,2,0,2238.0,0.0033279701166722677,1.0,,-85119.0,-0.12657439158222822,1.0,,,,1.0,1.0,"ZS shows mild bearish COT pressure with final score -1.00 and base score -1.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,SOYBEANS - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-1.0,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,79311.0,77073.0,238895.0,324014.0,672482.0,-4162.0,29814.0,"{""net"": 2238.0, ""net_pct_oi"": 0.0033279701166722677, ""percentile"": 1.0, ""zscore"": null, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -85119.0, ""net_pct_oi"": -0.12657439158222822, ""percentile"": 1.0, ""zscore"": null, ""score"": 2, ""interpretation"": ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support.""}","{""managed_money_net_chg_1w"": null, ""producer_merchant_net_chg_1w"": null, ""score"": 0, ""interpretation"": ""Positioning impulse is neutral because 1-week change data is missing.""}","{""commercial_net_percentile"": 1.0, ""noncommercial_net_percentile"": 1.0, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is 0.003."", ""Producer/Merchant net position is unusually high, indicating reduced hedge pressure or commercial support."", ""Producer/Merchant net/open-interest ratio is -0.127."", ""1-week change unavailable"", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning suggests reduced commercial pressure.""]","[""producer_merchant_net_chg_1w"", ""managed_money_net_chg_1w"", ""producer_merchant_net_zscore"", ""managed_money_net_zscore""]",SOYBEANS - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZS,Soybeans,2023-06-06,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,0,-1,13952.0,0.02085117384994986,1.0,0.7071067811865476,-90440.0,-0.1351619956271119,0.5,-0.7071067811865476,11714.0,-5321.0,1.0,0.5,"ZS shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,SOYBEANS - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-5.0,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,84268.0,70316.0,231977.0,322417.0,669123.0,-16089.0,39155.0,"{""net"": 13952.0, ""net_pct_oi"": 0.02085117384994986, ""percentile"": 1.0, ""zscore"": 0.7071067811865476, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -90440.0, ""net_pct_oi"": -0.1351619956271119, ""percentile"": 0.5, ""zscore"": -0.7071067811865476, ""score"": 0, ""interpretation"": ""Producer/Merchant positioning is near its historical middle range.""}","{""managed_money_net_chg_1w"": 11714.0, ""producer_merchant_net_chg_1w"": -5321.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.5, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is 0.021."", ""Producer/Merchant positioning is near its historical middle range."", ""Producer/Merchant net/open-interest ratio is -0.135."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 11714."", ""Producer/Merchant net change 1w = -5321."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning is not extreme.""]",[],SOYBEANS - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZS,Soybeans,2023-06-13,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,-1,-1,49811.0,0.07537356908852925,1.0,1.1220006285210102,-105461.0,-0.1595826618547185,0.3333333333333333,-1.117376748973358,35859.0,-15021.0,1.0,0.3333333333333333,"ZS shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,SOYBEANS - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-6.5,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,101446.0,51635.0,233623.0,339084.0,660855.0,-36522.0,62949.0,"{""net"": 49811.0, ""net_pct_oi"": 0.07537356908852925, ""percentile"": 1.0, ""zscore"": 1.1220006285210102, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -105461.0, ""net_pct_oi"": -0.1595826618547185, ""percentile"": 0.3333333333333333, ""zscore"": -1.117376748973358, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": 35859.0, ""producer_merchant_net_chg_1w"": -15021.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.3333333333333333, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is 0.075."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.160."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 35859."", ""Producer/Merchant net change 1w = -15021."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning is not extreme.""]",[],SOYBEANS - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZS,Soybeans,2023-06-20,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,-1,-1,83413.0,0.12591230684001817,1.0,1.2524378409976882,-131539.0,-0.1985587250120383,0.25,-1.365339783057094,33602.0,-26078.0,1.0,0.25,"ZS shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,SOYBEANS - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-6.5,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,117577.0,34164.0,233330.0,364869.0,662469.0,-67634.0,88532.0,"{""net"": 83413.0, ""net_pct_oi"": 0.12591230684001817, ""percentile"": 1.0, ""zscore"": 1.2524378409976882, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -131539.0, ""net_pct_oi"": -0.1985587250120383, ""percentile"": 0.25, ""zscore"": -1.365339783057094, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": 33602.0, ""producer_merchant_net_chg_1w"": -26078.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.25, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is 0.126."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.199."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 33602."", ""Producer/Merchant net change 1w = -26078."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning is not extreme.""]",[],SOYBEANS - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZS,Soybeans,2023-06-27,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,-1,-1,99063.0,0.15924146389687716,1.0,1.1714540618118574,-163594.0,-0.26297354254106703,0.2,-1.4886843890030936,15650.0,-32055.0,1.0,0.2,"ZS shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,SOYBEANS - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-6.5,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,131435.0,32372.0,195720.0,359314.0,622093.0,-80229.0,101849.0,"{""net"": 99063.0, ""net_pct_oi"": 0.15924146389687716, ""percentile"": 1.0, ""zscore"": 1.1714540618118574, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -163594.0, ""net_pct_oi"": -0.26297354254106703, ""percentile"": 0.2, ""zscore"": -1.4886843890030936, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": 15650.0, ""producer_merchant_net_chg_1w"": -32055.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.2, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is 0.159."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.263."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 15650."", ""Producer/Merchant net change 1w = -32055."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning is not extreme.""]",[],SOYBEANS - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZS,Soybeans,2023-07-03,-4.5,-4.5,bearish_positioning,medium,ACCEPTED_LEGACY_NEUTRAL,bearish,neutral,NEUTRAL,-1,-1,-1,90193.0,0.14777210527695495,0.8333333333333334,0.8199304674862414,-148802.0,-0.2437970220462946,0.3333333333333333,-0.8707833468127913,-8870.0,14792.0,0.8333333333333334,0.3333333333333333,ZS shows bearish COT pressure with final score -4.50 and base score -4.50. Managed Money is moderately net long versus history.,STRICT,SOYBEANS - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-4.5,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,126691.0,36498.0,192552.0,341354.0,610352.0,-71924.0,90973.0,"{""net"": 90193.0, ""net_pct_oi"": 0.14777210527695495, ""percentile"": 0.8333333333333334, ""zscore"": 0.8199304674862414, ""score"": -1, ""interpretation"": ""Managed Money is moderately net long versus history.""}","{""net"": -148802.0, ""net_pct_oi"": -0.2437970220462946, ""percentile"": 0.3333333333333333, ""zscore"": -0.8707833468127913, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": -8870.0, ""producer_merchant_net_chg_1w"": 14792.0, ""score"": -1, ""interpretation"": ""Managed Money net fell from a high percentile, suggesting long-liquidation risk.""}","{""commercial_net_percentile"": 0.3333333333333333, ""noncommercial_net_percentile"": 0.8333333333333334, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is moderately net long versus history."", ""Managed Money net/open-interest ratio is 0.148."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.244."", ""Managed Money net fell from a high percentile, suggesting long-liquidation risk."", ""Managed Money net change 1w = -8870."", ""Producer/Merchant net change 1w = 14792."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],SOYBEANS - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZS,Soybeans,2023-07-11,-2.5,-2.5,mildly_bearish,medium,ACCEPTED_LEGACY_NEUTRAL,bearish,neutral,NEUTRAL,0,-1,-1,84244.0,0.13532977033263777,0.7142857142857143,0.6107346909581569,-151288.0,-0.2430294180485744,0.2857142857142857,-0.8287084024895633,-5949.0,-2486.0,0.7142857142857143,0.2857142857142857,ZS shows mild bearish COT pressure with final score -2.50 and base score -2.50. Managed Money positioning is near its historical middle range.,STRICT,SOYBEANS - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-2.5,Legacy COT is neutral or mixed.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,124246.0,40002.0,201026.0,352314.0,622509.0,-77180.0,90863.0,"{""net"": 84244.0, ""net_pct_oi"": 0.13532977033263777, ""percentile"": 0.7142857142857143, ""zscore"": 0.6107346909581569, ""score"": 0, ""interpretation"": ""Managed Money positioning is near its historical middle range.""}","{""net"": -151288.0, ""net_pct_oi"": -0.2430294180485744, ""percentile"": 0.2857142857142857, ""zscore"": -0.8287084024895633, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": -5949.0, ""producer_merchant_net_chg_1w"": -2486.0, ""score"": -1, ""interpretation"": ""Both Managed Money and Producer/Merchant net positions fell, indicating bearish positioning impulse.""}","{""commercial_net_percentile"": 0.2857142857142857, ""noncommercial_net_percentile"": 0.7142857142857143, ""direction"": ""neutral"", ""status"": ""NEUTRAL"", ""interpretation"": ""Legacy COT is neutral or mixed."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money positioning is near its historical middle range."", ""Managed Money net/open-interest ratio is 0.135."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.243."", ""Both Managed Money and Producer/Merchant net positions fell, indicating bearish positioning impulse."", ""Managed Money net change 1w = -5949."", ""Producer/Merchant net change 1w = -2486."", ""Legacy Noncommercial positioning is not extreme."", ""Legacy Commercial positioning is not extreme.""]",[],SOYBEANS - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZS,Soybeans,2023-07-18,-4.5,-4.5,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-1,-1,-1,94970.0,0.14391203742288802,0.875,0.7929172361692014,-156773.0,-0.23756472404863035,0.25,-0.8850709461978511,10726.0,-5485.0,1.0,0.125,ZS shows bearish COT pressure with final score -4.50 and base score -4.50. Managed Money is moderately net long versus history.,STRICT,SOYBEANS - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-4.5,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,131863.0,36893.0,205687.0,362460.0,659917.0,-81463.0,107283.0,"{""net"": 94970.0, ""net_pct_oi"": 0.14391203742288802, ""percentile"": 0.875, ""zscore"": 0.7929172361692014, ""score"": -1, ""interpretation"": ""Managed Money is moderately net long versus history.""}","{""net"": -156773.0, ""net_pct_oi"": -0.23756472404863035, ""percentile"": 0.25, ""zscore"": -0.8850709461978511, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": 10726.0, ""producer_merchant_net_chg_1w"": -5485.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.125, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is moderately net long versus history."", ""Managed Money net/open-interest ratio is 0.144."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.238."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 10726."", ""Producer/Merchant net change 1w = -5485."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning suggests strong commercial short pressure.""]",[],SOYBEANS - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZS,Soybeans,2023-07-25,-5.0,-5.0,bearish_positioning,high,ACCEPTED_LEGACY_CONFIRMED,bearish,bearish,CONFIRMED,-2,-2,-1,111784.0,0.16520380762085768,1.0,1.0733334850404093,-190866.0,-0.28207784607244885,0.1111111111111111,-1.5355713870395842,16814.0,-34093.0,1.0,0.1111111111111111,"ZS shows bearish COT pressure with final score -5.00 and base score -5.00. Managed Money is extremely net long, indicating crowded-long downside risk.",STRICT,SOYBEANS - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-8.0,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,142159.0,30375.0,212314.0,403180.0,676643.0,-116876.0,134982.0,"{""net"": 111784.0, ""net_pct_oi"": 0.16520380762085768, ""percentile"": 1.0, ""zscore"": 1.0733334850404093, ""score"": -2, ""interpretation"": ""Managed Money is extremely net long, indicating crowded-long downside risk.""}","{""net"": -190866.0, ""net_pct_oi"": -0.28207784607244885, ""percentile"": 0.1111111111111111, ""zscore"": -1.5355713870395842, ""score"": -2, ""interpretation"": ""Producer/Merchant net position is extremely low, indicating elevated hedge-selling pressure.""}","{""managed_money_net_chg_1w"": 16814.0, ""producer_merchant_net_chg_1w"": -34093.0, ""score"": -1, ""interpretation"": ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk.""}","{""commercial_net_percentile"": 0.1111111111111111, ""noncommercial_net_percentile"": 1.0, ""direction"": ""bearish"", ""status"": ""CONFIRMED"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money is extremely net long, indicating crowded-long downside risk."", ""Managed Money net/open-interest ratio is 0.165."", ""Producer/Merchant net position is extremely low, indicating elevated hedge-selling pressure."", ""Producer/Merchant net/open-interest ratio is -0.282."", ""Managed Money added length while Producer/Merchant net fell, reinforcing crowded-long/hedge-pressure risk."", ""Managed Money net change 1w = 16814."", ""Producer/Merchant net change 1w = -34093."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning suggests strong commercial short pressure.""]",[],SOYBEANS - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
ZS,Soybeans,2023-08-01,-0.5,-0.5,neutral,low,ACCEPTED_BASE_NEUTRAL,neutral,bearish,NOT_APPLICABLE,0,-1,1,90316.0,0.14114984707568387,0.7,0.49115760299736516,-179765.0,-0.28094470813101013,0.2,-1.0816012651269178,-21468.0,11101.0,0.9,0.2,ZS shows neutral COT pressure with final score -0.50 and base score -0.50. Managed Money positioning is near its historical middle range.,STRICT,SOYBEANS - CHICAGO BOARD OF TRADE,CFTC_COT_SCORING_V1_2,GRAIN,-0.5,Legacy COT confirms bearish positioning pressure.,3.0,,GATE_NOT_WEIGHTED_COMPONENT,123434.0,33118.0,199532.0,379297.0,639859.0,-95382.0,113760.0,"{""net"": 90316.0, ""net_pct_oi"": 0.14114984707568387, ""percentile"": 0.7, ""zscore"": 0.49115760299736516, ""score"": 0, ""interpretation"": ""Managed Money positioning is near its historical middle range.""}","{""net"": -179765.0, ""net_pct_oi"": -0.28094470813101013, ""percentile"": 0.2, ""zscore"": -1.0816012651269178, ""score"": -1, ""interpretation"": ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure.""}","{""managed_money_net_chg_1w"": -21468.0, ""producer_merchant_net_chg_1w"": 11101.0, ""score"": 1, ""interpretation"": ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure.""}","{""commercial_net_percentile"": 0.2, ""noncommercial_net_percentile"": 0.9, ""direction"": ""bearish"", ""status"": ""NOT_APPLICABLE"", ""interpretation"": ""Legacy COT confirms bearish positioning pressure."", ""used_as"": ""GATE_NOT_WEIGHTED_COMPONENT""}","[""Managed Money positioning is near its historical middle range."", ""Managed Money net/open-interest ratio is 0.141."", ""Producer/Merchant net position is below normal, suggesting moderate hedge pressure."", ""Producer/Merchant net/open-interest ratio is -0.281."", ""Managed Money net fell while Producer/Merchant pressure eased, reducing bearish hedge pressure."", ""Managed Money net change 1w = -21468."", ""Producer/Merchant net change 1w = 11101."", ""Legacy Noncommercial positioning is crowded long."", ""Legacy Commercial positioning is not extreme.""]",[],SOYBEANS - CHICAGO BOARD OF TRADE,,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,https://publicreporting.cftc.gov/resource/6dca-aqww.json,2026-05-25T20:10:02+00:00
