instrument,commodity_label,asset_class,report_date,report_type,market_and_exchange_name,open_interest,producer_merchant_long,producer_merchant_short,producer_merchant_net,managed_money_long,managed_money_short,managed_money_net,managed_money_net_chg_1w,managed_money_net_pct_oi,producer_merchant_net_pct_oi,managed_money_net_percentile,commercial_long,commercial_short,commercial_net,noncommercial_long,noncommercial_short,noncommercial_net,legacy_noncommercial_net_percentile,source_id,raw_source_url,tos_status,gatekeeper_cleared,gatekeeper_id,cftc_contract_market_code,managed_money_spreading,swap_long,swap_short,other_reportable_long,other_reportable_short,nonreportable_long,nonreportable_short,source_mapping_status,source_mapping_note,normalized_at,producer_merchant_net_chg_1w,producer_merchant_net_percentile,managed_money_net_zscore,producer_merchant_net_zscore,commercial_net_pct_oi,noncommercial_net_pct_oi,noncommercial_spreading,noncommercial_net_chg_1w,commercial_net_chg_1w,legacy_commercial_net_percentile,legacy_noncommercial_net_zscore,legacy_commercial_net_zscore
ZS,Soybeans,GRAIN,2023-05-30,DISAGGREGATED_FUTURES_ONLY,SOYBEANS - CHICAGO BOARD OF TRADE,672482.0,238895.0,324014.0,-85119.0,79311.0,77073.0,2238.0,,0.0033279701166722677,-0.12657439158222822,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,005602,64978.0,104024.0,23067.0,52990.0,25414.0,44298.0,69950.0,STRICT,,2026-05-25T06:02:03+00:00,,1.0,,,,,,,,,,
ZS,Soybeans,GRAIN,2023-06-06,DISAGGREGATED_FUTURES_ONLY,SOYBEANS - CHICAGO BOARD OF TRADE,669123.0,231977.0,322417.0,-90440.0,84268.0,70316.0,13952.0,11714.0,0.02085117384994986,-0.1351619956271119,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,005602,59702.0,98595.0,24244.0,52450.0,27247.0,46263.0,69329.0,STRICT,,2026-05-25T06:02:03+00:00,-5321.0,0.5,0.7071067811865476,-0.7071067811865476,,,,,,,,
ZS,Soybeans,GRAIN,2023-06-13,DISAGGREGATED_FUTURES_ONLY,SOYBEANS - CHICAGO BOARD OF TRADE,660855.0,233623.0,339084.0,-105461.0,101446.0,51635.0,49811.0,35859.0,0.07537356908852925,-0.1595826618547185,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,005602,59224.0,96340.0,27401.0,46991.0,33853.0,42174.0,68601.0,STRICT,,2026-05-25T06:02:03+00:00,-15021.0,0.3333333333333333,1.1220006285210102,-1.117376748973358,,,,,,,,
ZS,Soybeans,GRAIN,2023-06-20,DISAGGREGATED_FUTURES_ONLY,SOYBEANS - CHICAGO BOARD OF TRADE,662469.0,233330.0,364869.0,-131539.0,117577.0,34164.0,83413.0,33602.0,0.12591230684001817,-0.1985587250120383,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,005602,57388.0,95860.0,31955.0,44216.0,39097.0,45676.0,66574.0,STRICT,,2026-05-25T06:02:03+00:00,-26078.0,0.25,1.2524378409976882,-1.365339783057094,,,,,,,,
ZS,Soybeans,GRAIN,2023-06-27,DISAGGREGATED_FUTURES_ONLY,SOYBEANS - CHICAGO BOARD OF TRADE,622093.0,195720.0,359314.0,-163594.0,131435.0,32372.0,99063.0,15650.0,0.15924146389687716,-0.26297354254106703,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,005602,53511.0,106467.0,23102.0,43499.0,40713.0,43552.0,65172.0,STRICT,,2026-05-25T06:02:03+00:00,-32055.0,0.2,1.1714540618118574,-1.4886843890030936,,,,,,,,
ZS,Soybeans,GRAIN,2023-07-03,DISAGGREGATED_FUTURES_ONLY,SOYBEANS - CHICAGO BOARD OF TRADE,610352.0,192552.0,341354.0,-148802.0,126691.0,36498.0,90193.0,-8870.0,0.14777210527695495,-0.2437970220462946,0.8333333333333334,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,005602,60533.0,101851.0,24973.0,43515.0,42735.0,43239.0,62288.0,STRICT,,2026-05-25T06:02:03+00:00,14792.0,0.3333333333333333,0.8199304674862414,-0.8707833468127913,,,,,,,,
ZS,Soybeans,GRAIN,2023-07-11,DISAGGREGATED_FUTURES_ONLY,SOYBEANS - CHICAGO BOARD OF TRADE,622509.0,201026.0,352314.0,-151288.0,124246.0,40002.0,84244.0,-5949.0,0.13532977033263777,-0.2430294180485744,0.7142857142857143,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,005602,63338.0,98912.0,24804.0,46653.0,40034.0,46635.0,60318.0,STRICT,,2026-05-25T06:02:03+00:00,-2486.0,0.2857142857142857,0.6107346909581569,-0.8287084024895633,,,,,,,,
ZS,Soybeans,GRAIN,2023-07-18,DISAGGREGATED_FUTURES_ONLY,SOYBEANS - CHICAGO BOARD OF TRADE,659917.0,205687.0,362460.0,-156773.0,131863.0,36893.0,94970.0,10726.0,0.14391203742288802,-0.23756472404863035,0.875,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,005602,70923.0,101961.0,26651.0,53295.0,40982.0,48459.0,74279.0,STRICT,,2026-05-25T06:02:03+00:00,-5485.0,0.25,0.7929172361692014,-0.8850709461978511,,,,,,,,
ZS,Soybeans,GRAIN,2023-07-25,DISAGGREGATED_FUTURES_ONLY,SOYBEANS - CHICAGO BOARD OF TRADE,676643.0,212314.0,403180.0,-190866.0,142159.0,30375.0,111784.0,16814.0,0.16520380762085768,-0.28207784607244885,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,005602,69551.0,101957.0,27967.0,55987.0,32789.0,47428.0,65534.0,STRICT,,2026-05-25T06:02:03+00:00,-34093.0,0.1111111111111111,1.0733334850404093,-1.5355713870395842,,,,,,,,
ZS,Soybeans,GRAIN,2023-08-01,DISAGGREGATED_FUTURES_ONLY,SOYBEANS - CHICAGO BOARD OF TRADE,639859.0,199532.0,379297.0,-179765.0,123434.0,33118.0,90316.0,-21468.0,0.14114984707568387,-0.28094470813101013,0.7,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,005602,67945.0,106037.0,21654.0,52449.0,29005.0,44209.0,62587.0,STRICT,,2026-05-25T06:02:03+00:00,11101.0,0.2,0.49115760299736516,-1.0816012651269178,,,,,,,,
