series_key,document_target,source_mapping_status,proxy_for,source_id,instrument,delivery_point,timestamp,data_type,value,unit,price_low,price_high,price_method,price_unit_raw,slug_id,slug_name,report_title,published_date,commodity_raw,class_raw,grade,protein,delivery_point_raw,market_location_name,market_location_city,market_location_state,trade_loc,location_state,location_city,quote_type,sale_type,basis_unit,basis_min,basis_max,freight,delivery_raw,proxy_keyword_hits,proxy_reason,tos_status,gatekeeper_cleared,gatekeeper_id,raw_source_url
SOYBEAN_MEAL,SOYBEAN_MEAL,STRICT,,USDA_AMS_SOYBEAN_MEAL_NATIONAL,SOYBEAN_MEAL,NATIONAL_PROCESSOR_FEEDSTUFF,05/04/2026,PHYSICAL_PRICE,423.9,USD_PER_SHORT_TON,423.9,423.9,avg_price,$ Per Ton,3511,AMS_3511,National Grain and Oilseed Processor Feedstuff Report,05/08/2026 14:03:13,Soybean Meal,,,46.5-48%,,,,,"Portland, OR",,,Basis,Ask,$ Per Ton,105,105,Delivered,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/3511/Report%20Detail
SOYBEAN_MEAL,SOYBEAN_MEAL,STRICT,,USDA_AMS_SOYBEAN_MEAL_NATIONAL,SOYBEAN_MEAL,NATIONAL_PROCESSOR_FEEDSTUFF,05/04/2026,PHYSICAL_PRICE,396.16,USD_PER_SHORT_TON,390.9,398.9,avg_price,$ Per Ton,3511,AMS_3511,National Grain and Oilseed Processor Feedstuff Report,05/08/2026 14:03:13,Soybean Meal,,,46.5-48%,,,,,CA-South,,,Basis,Ask,$ Per Ton,72,80,Delivered,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/3511/Report%20Detail
SOYBEAN_MEAL,SOYBEAN_MEAL,STRICT,,USDA_AMS_SOYBEAN_MEAL_NATIONAL,SOYBEAN_MEAL,NATIONAL_PROCESSOR_FEEDSTUFF,05/04/2026,PHYSICAL_PRICE,387.4,USD_PER_SHORT_TON,383.9,390.9,avg_price,$ Per Ton,3511,AMS_3511,National Grain and Oilseed Processor Feedstuff Report,05/08/2026 14:03:13,Soybean Meal,,,46.5-48%,,,,,Pacific Northwest,,,Basis,Ask,$ Per Ton,65,72,Delivered,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/3511/Report%20Detail
SOYBEAN_MEAL,SOYBEAN_MEAL,STRICT,,USDA_AMS_SOYBEAN_MEAL_NATIONAL,SOYBEAN_MEAL,NATIONAL_PROCESSOR_FEEDSTUFF,05/04/2026,PHYSICAL_PRICE,357.23,USD_PER_SHORT_TON,353.9,358.9,avg_price,$ Per Ton,3511,AMS_3511,National Grain and Oilseed Processor Feedstuff Report,05/08/2026 14:03:13,Soybean Meal,,,46.5-48%,,,,,Indiana-Ohio,,,Basis,Ask,$ Per Ton,35,40,F.O.B.,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/3511/Report%20Detail
SOYBEAN_MEAL,SOYBEAN_MEAL,STRICT,,USDA_AMS_SOYBEAN_MEAL_NATIONAL,SOYBEAN_MEAL,NATIONAL_PROCESSOR_FEEDSTUFF,05/04/2026,PHYSICAL_PRICE,354.17,USD_PER_SHORT_TON,348.9,366.3,avg_price,$ Per Ton,3511,AMS_3511,National Grain and Oilseed Processor Feedstuff Report,05/08/2026 14:03:13,Soybean Meal,,,46.5-48%,,,,,Indiana-Ohio,,,Basis,Ask,$ Per Ton,30,45,F.O.B.,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/3511/Report%20Detail
SOYBEAN_MEAL,SOYBEAN_MEAL,STRICT,,USDA_AMS_SOYBEAN_MEAL_NATIONAL,SOYBEAN_MEAL,NATIONAL_PROCESSOR_FEEDSTUFF,05/04/2026,PHYSICAL_PRICE,340.38,USD_PER_SHORT_TON,328.9,358.9,avg_price,$ Per Ton,3511,AMS_3511,National Grain and Oilseed Processor Feedstuff Report,05/08/2026 14:03:13,Soybean Meal,,,46.5-48%,,,,,Illinois,,,Basis,Ask,$ Per Ton,10,40,F.O.B.,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/3511/Report%20Detail
SOYBEAN_MEAL,SOYBEAN_MEAL,STRICT,,USDA_AMS_SOYBEAN_MEAL_NATIONAL,SOYBEAN_MEAL,NATIONAL_PROCESSOR_FEEDSTUFF,05/04/2026,PHYSICAL_PRICE,331.3,USD_PER_SHORT_TON,331.3,331.3,avg_price,$ Per Ton,3511,AMS_3511,National Grain and Oilseed Processor Feedstuff Report,05/08/2026 14:03:13,Soybean Meal,,,46.5-48%,,,,,Illinois,,,Basis,Ask,$ Per Ton,10,10,F.O.B.,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/3511/Report%20Detail
SOYBEAN_MEAL,SOYBEAN_MEAL,STRICT,,USDA_AMS_SOYBEAN_MEAL_NATIONAL,SOYBEAN_MEAL,NATIONAL_PROCESSOR_FEEDSTUFF,05/04/2026,PHYSICAL_PRICE,327.6,USD_PER_SHORT_TON,326.3,328.9,avg_price,$ Per Ton,3511,AMS_3511,National Grain and Oilseed Processor Feedstuff Report,05/08/2026 14:03:13,Soybean Meal,,,46.5-48%,,,,,KC Region,,,Basis,Ask,$ Per Ton,5,10,F.O.B.,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/3511/Report%20Detail
SOYBEAN_MEAL,SOYBEAN_MEAL,STRICT,,USDA_AMS_SOYBEAN_MEAL_NATIONAL,SOYBEAN_MEAL,NATIONAL_PROCESSOR_FEEDSTUFF,05/04/2026,PHYSICAL_PRICE,324.92,USD_PER_SHORT_TON,318.9,331.3,avg_price,$ Per Ton,3511,AMS_3511,National Grain and Oilseed Processor Feedstuff Report,05/08/2026 14:03:13,Soybean Meal,,,46.5-48%,,,,,Iowa,,,Basis,Ask,$ Per Ton,0,10,F.O.B.,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/3511/Report%20Detail
SOYBEAN_MEAL,SOYBEAN_MEAL,STRICT,,USDA_AMS_SOYBEAN_MEAL_NATIONAL,SOYBEAN_MEAL,NATIONAL_PROCESSOR_FEEDSTUFF,05/04/2026,PHYSICAL_PRICE,318.9,USD_PER_SHORT_TON,313.9,323.9,avg_price,$ Per Ton,3511,AMS_3511,National Grain and Oilseed Processor Feedstuff Report,05/08/2026 14:03:13,Soybean Meal,,,46.5-48%,,,,,Minnesota,,,Basis,Ask,$ Per Ton,-5,5,F.O.B.,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/3511/Report%20Detail
