instrument,commodity_label,asset_class,report_date,report_type,market_and_exchange_name,open_interest,producer_merchant_long,producer_merchant_short,producer_merchant_net,managed_money_long,managed_money_short,managed_money_net,managed_money_net_chg_1w,managed_money_net_pct_oi,producer_merchant_net_pct_oi,managed_money_net_percentile,commercial_long,commercial_short,commercial_net,noncommercial_long,noncommercial_short,noncommercial_net,legacy_noncommercial_net_percentile,source_id,raw_source_url,tos_status,gatekeeper_cleared,gatekeeper_id,cftc_contract_market_code,managed_money_spreading,swap_long,swap_short,other_reportable_long,other_reportable_short,nonreportable_long,nonreportable_short,source_mapping_status,source_mapping_note,normalized_at,producer_merchant_net_chg_1w,producer_merchant_net_percentile,managed_money_net_zscore,producer_merchant_net_zscore,commercial_net_pct_oi,noncommercial_net_pct_oi,noncommercial_spreading,noncommercial_net_chg_1w,commercial_net_chg_1w,legacy_commercial_net_percentile,legacy_noncommercial_net_zscore,legacy_commercial_net_zscore
GC,Gold,METAL,2023-05-30,DISAGGREGATED_FUTURES_ONLY,GOLD - COMMODITY EXCHANGE INC.,449515.0,12396.0,43768.0,-31372.0,122904.0,36201.0,86703.0,,0.19288121642214387,-0.06979077450140707,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,088691,24902.0,93334.0,251967.0,114402.0,31789.0,43611.0,22922.0,STRICT,,2026-05-25T06:02:28+00:00,,1.0,,,,,,,,,,
GC,Gold,METAL,2023-06-06,DISAGGREGATED_FUTURES_ONLY,GOLD - COMMODITY EXCHANGE INC.,436301.0,13860.0,43638.0,-29778.0,120985.0,27557.0,93428.0,6725.0,0.21413657085360793,-0.06825104686901932,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,088691,26495.0,91274.0,259683.0,116482.0,34269.0,47595.0,25049.0,STRICT,,2026-05-25T06:02:28+00:00,1594.0,1.0,0.7071067811865476,0.7071067811865476,,,,,,,,
GC,Gold,METAL,2023-06-13,DISAGGREGATED_FUTURES_ONLY,GOLD - COMMODITY EXCHANGE INC.,432898.0,14225.0,41384.0,-27159.0,110512.0,35869.0,74643.0,-18785.0,0.1724262990358006,-0.06273764258555133,0.3333333333333333,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,088691,27364.0,93585.0,252488.0,116805.0,31239.0,48953.0,23100.0,STRICT,,2026-05-25T06:02:28+00:00,2619.0,1.0,-1.0802423830951442,1.070588026772218,,,,,,,,
GC,Gold,METAL,2023-06-20,DISAGGREGATED_FUTURES_ONLY,GOLD - COMMODITY EXCHANGE INC.,438037.0,13663.0,40542.0,-26879.0,110314.0,34275.0,76039.0,1396.0,0.1735903588053064,-0.06136239632725089,0.5,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,088691,30457.0,94588.0,254246.0,118994.0,32058.0,47402.0,23840.0,STRICT,,2026-05-25T06:02:28+00:00,280.0,1.0,-0.7444685810012002,0.8892996834097318,,,,,,,,
GC,Gold,METAL,2023-06-27,DISAGGREGATED_FUTURES_ONLY,GOLD - COMMODITY EXCHANGE INC.,431861.0,11393.0,37626.0,-26233.0,108209.0,38534.0,69675.0,-6364.0,0.161336633777998,-0.06074408200786827,0.2,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,088691,31279.0,95100.0,244202.0,112672.0,30437.0,48042.0,24617.0,STRICT,,2026-05-25T06:02:28+00:00,646.0,1.0,-1.074742800416755,0.9358985237415619,,,,,,,,
GC,Gold,METAL,2023-07-03,DISAGGREGATED_FUTURES_ONLY,GOLD - COMMODITY EXCHANGE INC.,448063.0,13966.0,41391.0,-27425.0,123017.0,39869.0,83148.0,13473.0,0.18557211820659147,-0.06120791049472953,0.6666666666666666,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,088691,32723.0,90454.0,247746.0,112064.0,32115.0,45490.0,23870.0,STRICT,,2026-05-25T06:02:28+00:00,-1192.0,0.5,0.29008722188736424,0.3595383580859464,,,,,,,,
GC,Gold,METAL,2023-07-11,DISAGGREGATED_FUTURES_ONLY,GOLD - COMMODITY EXCHANGE INC.,483170.0,13062.0,42136.0,-29074.0,124394.0,41951.0,82443.0,-705.0,0.1706293851025519,-0.06017343792040069,0.5714285714285714,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,088691,41464.0,89493.0,248168.0,116152.0,32841.0,46618.0,24623.0,STRICT,,2026-05-25T06:02:28+00:00,-1649.0,0.42857142857142855,0.19609939523370445,-0.4318539024367171,,,,,,,,
GC,Gold,METAL,2023-07-18,DISAGGREGATED_FUTURES_ONLY,GOLD - COMMODITY EXCHANGE INC.,482104.0,14281.0,53555.0,-39274.0,147644.0,32326.0,115318.0,32875.0,0.2391973516087815,-0.08146375056004514,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,088691,33429.0,84927.0,259368.0,116096.0,38066.0,45784.0,25417.0,STRICT,,2026-05-25T06:02:28+00:00,-10200.0,0.125,2.1124865502795975,-2.2645812246094468,,,,,,,,
GC,Gold,METAL,2023-07-25,DISAGGREGATED_FUTURES_ONLY,GOLD - COMMODITY EXCHANGE INC.,476176.0,16452.0,55396.0,-38944.0,132603.0,37316.0,95287.0,-20031.0,0.20010878330701254,-0.08178488626054232,0.8888888888888888,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,088691,35498.0,86053.0,245319.0,115626.0,37274.0,47300.0,22729.0,STRICT,,2026-05-25T06:02:28+00:00,330.0,0.2222222222222222,0.6529403688345596,-1.6391837750357516,,,,,,,,
GC,Gold,METAL,2023-08-01,DISAGGREGATED_FUTURES_ONLY,GOLD - COMMODITY EXCHANGE INC.,439383.0,16334.0,46546.0,-30212.0,123802.0,43793.0,80009.0,-15278.0,0.1820939817880983,-0.06876005671589479,0.4,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,088691,30029.0,88352.0,244985.0,115183.0,30268.0,43254.0,21333.0,STRICT,,2026-05-25T06:02:28+00:00,8732.0,0.4,-0.4310711669551272,0.0889706518252138,,,,,,,,
GC,Gold,METAL,2023-08-08,DISAGGREGATED_FUTURES_ONLY,GOLD - COMMODITY EXCHANGE INC.,427759.0,15411.0,41861.0,-26450.0,114585.0,55979.0,58606.0,-21403.0,0.13700705303687358,-0.06183388309772559,0.09090909090909091,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,088691,29953.0,88184.0,229288.0,114261.0,29882.0,44996.0,20427.0,STRICT,,2026-05-25T06:02:28+00:00,3762.0,0.9090909090909091,-1.6521405956800435,0.8123162453988163,,,,,,,,
GC,Gold,METAL,2023-08-15,DISAGGREGATED_FUTURES_ONLY,GOLD - COMMODITY EXCHANGE INC.,433611.0,17862.0,39392.0,-21530.0,113146.0,83610.0,29536.0,-29070.0,0.06811635313679773,-0.04965279939853924,0.08333333333333333,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,088691,30928.0,86688.0,207088.0,119932.0,28332.0,44337.0,23543.0,STRICT,,2026-05-25T06:02:28+00:00,4920.0,1.0,-2.341103515016912,1.559916722930165,,,,,,,,
GC,Gold,METAL,2023-08-22,DISAGGREGATED_FUTURES_ONLY,GOLD - COMMODITY EXCHANGE INC.,430239.0,18338.0,35940.0,-17602.0,105085.0,95976.0,9109.0,-20427.0,0.021171953263186275,-0.04091214418032768,0.07692307692307693,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,088691,32173.0,87166.0,190600.0,121255.0,28418.0,45312.0,26222.0,STRICT,,2026-05-25T06:02:28+00:00,3928.0,1.0,-2.304564633893856,1.859807415353691,,,,,,,,
GC,Gold,METAL,2023-08-29,DISAGGREGATED_FUTURES_ONLY,GOLD - COMMODITY EXCHANGE INC.,442806.0,20564.0,41031.0,-20467.0,120609.0,81367.0,39242.0,30133.0,0.08862120206139935,-0.04622114424827125,0.21428571428571427,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,088691,33536.0,83759.0,203886.0,115445.0,31415.0,43767.0,26445.0,STRICT,,2026-05-25T06:02:28+00:00,-2865.0,0.9285714285714286,-1.1199231549734678,1.2418312233410602,,,,,,,,
GC,Gold,METAL,2023-09-05,DISAGGREGATED_FUTURES_ONLY,GOLD - COMMODITY EXCHANGE INC.,438672.0,17994.0,42368.0,-24374.0,120222.0,69857.0,50365.0,11123.0,0.11481243389138127,-0.05556315424736477,0.26666666666666666,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,088691,33104.0,81715.0,215580.0,115580.0,27939.0,45966.0,25733.0,STRICT,,2026-05-25T06:02:28+00:00,-3907.0,0.8,-0.6911187290926171,0.5739410341797012,,,,,,,,
GC,Gold,METAL,2023-09-12,DISAGGREGATED_FUTURES_ONLY,GOLD - COMMODITY EXCHANGE INC.,441221.0,17361.0,39709.0,-22348.0,117737.0,83166.0,34571.0,-15794.0,0.07835302490135329,-0.050650354357566846,0.1875,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,088691,34102.0,83274.0,205736.0,117967.0,28674.0,46740.0,25794.0,STRICT,,2026-05-25T06:02:28+00:00,2026.0,0.8125,-1.1620486497388445,0.8638983766134765,,,,,,,,
