instrument,commodity_label,asset_class,report_date,report_type,market_and_exchange_name,open_interest,producer_merchant_long,producer_merchant_short,producer_merchant_net,managed_money_long,managed_money_short,managed_money_net,managed_money_net_chg_1w,managed_money_net_pct_oi,producer_merchant_net_pct_oi,managed_money_net_percentile,commercial_long,commercial_short,commercial_net,noncommercial_long,noncommercial_short,noncommercial_net,legacy_noncommercial_net_percentile,source_id,raw_source_url,tos_status,gatekeeper_cleared,gatekeeper_id,cftc_contract_market_code,managed_money_spreading,swap_long,swap_short,other_reportable_long,other_reportable_short,nonreportable_long,nonreportable_short,source_mapping_status,source_mapping_note,normalized_at,producer_merchant_net_chg_1w,producer_merchant_net_percentile,managed_money_net_zscore,producer_merchant_net_zscore,commercial_net_pct_oi,noncommercial_net_pct_oi,noncommercial_spreading,noncommercial_net_chg_1w,commercial_net_chg_1w,legacy_commercial_net_percentile,legacy_noncommercial_net_zscore,legacy_commercial_net_zscore
NG,Natural Gas,ENERGY,2023-05-30,DISAGGREGATED_FUTURES_ONLY,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,1359496.0,207453.0,323689.0,-116236.0,214771.0,260054.0,-45283.0,,-0.03330866732965746,-0.0854993321054273,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,023651,356370.0,216942.0,25737.0,59889.0,120776.0,71114.0,39913.0,STRICT,,2026-05-25T06:01:42+00:00,,1.0,,,,,,,,,,
NG,Natural Gas,ENERGY,2023-06-06,DISAGGREGATED_FUTURES_ONLY,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,1389864.0,205538.0,306996.0,-101458.0,217965.0,285249.0,-67284.0,-22001.0,-0.048410491961803456,-0.0729985092066562,0.5,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,023651,353489.0,222387.0,28565.0,59329.0,118897.0,76419.0,41931.0,STRICT,,2026-05-25T06:01:42+00:00,14778.0,1.0,-0.7071067811865475,0.7071067811865476,,,,,,,,
NG,Natural Gas,ENERGY,2023-06-13,DISAGGREGATED_FUTURES_ONLY,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,1342162.0,194715.0,300544.0,-105829.0,215720.0,274363.0,-58643.0,8641.0,-0.043692937216222784,-0.07884964706197911,0.6666666666666666,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,023651,332257.0,219531.0,26583.0,57617.0,121955.0,75121.0,39259.0,STRICT,,2026-05-25T06:01:42+00:00,-4371.0,0.6666666666666666,-0.14190952375303725,0.26502738207954246,,,,,,,,
NG,Natural Gas,ENERGY,2023-06-20,DISAGGREGATED_FUTURES_ONLY,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,1303558.0,194769.0,294503.0,-99734.0,204326.0,235914.0,-31588.0,27055.0,-0.024232140035195977,-0.07650906212074952,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,023651,328417.0,209507.0,30038.0,53193.0,130920.0,70651.0,41071.0,STRICT,,2026-05-25T06:01:42+00:00,6095.0,1.0,1.2228765146376175,0.820957466588212,,,,,,,,
NG,Natural Gas,ENERGY,2023-06-27,DISAGGREGATED_FUTURES_ONLY,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,1232011.0,167638.0,283039.0,-115401.0,202042.0,223395.0,-21353.0,10235.0,-0.017331825771036136,-0.09366880652851314,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,023651,309252.0,210461.0,31479.0,48515.0,119962.0,67591.0,38372.0,STRICT,,2026-05-25T06:01:42+00:00,-15667.0,0.4,1.245292401499159,-0.9940911789618815,,,,,,,,
NG,Natural Gas,ENERGY,2023-07-03,DISAGGREGATED_FUTURES_ONLY,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,1241419.0,170941.0,289932.0,-118991.0,208742.0,208601.0,141.0,21494.0,0.00011357970193786304,-0.0958507965481437,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,023651,311284.0,220704.0,33400.0,46141.0,145057.0,69432.0,38970.0,STRICT,,2026-05-25T06:01:42+00:00,-3590.0,0.16666666666666666,1.5033645860067752,-1.1316466163701924,,,,,,,,
NG,Natural Gas,ENERGY,2023-07-11,DISAGGREGATED_FUTURES_ONLY,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,1236802.0,170660.0,290344.0,-119684.0,207939.0,196503.0,11436.0,11295.0,0.009246427479903816,-0.0967689250179091,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,023651,309964.0,213199.0,37961.0,43845.0,142036.0,70705.0,39504.0,STRICT,,2026-05-25T06:01:42+00:00,-693.0,0.14285714285714285,1.427452548859209,-1.0192905493439235,,,,,,,,
NG,Natural Gas,ENERGY,2023-07-18,DISAGGREGATED_FUTURES_ONLY,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,1234296.0,174071.0,289597.0,-115526.0,203740.0,219144.0,-15404.0,-26840.0,-0.012479988592687653,-0.09359667373142261,0.75,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,023651,304880.0,217518.0,36908.0,48635.0,128993.0,68430.0,37752.0,STRICT,,2026-05-25T06:01:42+00:00,4158.0,0.5,0.4739728818979815,-0.48966549350541105,,,,,,,,
NG,Natural Gas,ENERGY,2023-07-25,DISAGGREGATED_FUTURES_ONLY,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,1185638.0,171735.0,275693.0,-103958.0,204535.0,200990.0,3545.0,18949.0,0.002989951401692591,-0.08768106285392337,0.8888888888888888,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,023651,284127.0,210890.0,35960.0,41244.0,141910.0,67603.0,41454.0,STRICT,,2026-05-25T06:01:42+00:00,11568.0,0.7777777777777778,1.0186439367573519,0.8598034953954383,,,,,,,,
NG,Natural Gas,ENERGY,2023-08-01,DISAGGREGATED_FUTURES_ONLY,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,1206160.0,167484.0,267830.0,-100346.0,209163.0,226054.0,-16891.0,-20436.0,-0.014003946408436692,-0.08319460104795384,0.6,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,023651,278853.0,214486.0,36194.0,53073.0,143203.0,70557.0,41482.0,STRICT,,2026-05-25T06:01:42+00:00,3612.0,0.9,0.2734243589669468,1.1496675661460884,,,,,,,,
