instrument,commodity_label,asset_class,report_date,report_type,market_and_exchange_name,open_interest,producer_merchant_long,producer_merchant_short,producer_merchant_net,managed_money_long,managed_money_short,managed_money_net,managed_money_net_chg_1w,managed_money_net_pct_oi,producer_merchant_net_pct_oi,managed_money_net_percentile,commercial_long,commercial_short,commercial_net,noncommercial_long,noncommercial_short,noncommercial_net,legacy_noncommercial_net_percentile,source_id,raw_source_url,tos_status,gatekeeper_cleared,gatekeeper_id,cftc_contract_market_code,managed_money_spreading,swap_long,swap_short,other_reportable_long,other_reportable_short,nonreportable_long,nonreportable_short,source_mapping_status,source_mapping_note,normalized_at,producer_merchant_net_chg_1w,producer_merchant_net_percentile,managed_money_net_zscore,producer_merchant_net_zscore,commercial_net_pct_oi,noncommercial_net_pct_oi,noncommercial_spreading,noncommercial_net_chg_1w,commercial_net_chg_1w,legacy_commercial_net_percentile,legacy_noncommercial_net_zscore,legacy_commercial_net_zscore
ZW,SRW Wheat,GRAIN,2023-05-30,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,395158.0,75489.0,51351.0,24138.0,57391.0,184425.0,-127034.0,,-0.3214764727020584,0.06108442698869819,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,69427.0,70216.0,5507.0,49947.0,16909.0,39165.0,34016.0,STRICT,,2026-05-25T06:02:16+00:00,,1.0,,,,,,,,,,
ZW,SRW Wheat,GRAIN,2023-06-06,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,405201.0,74648.0,56304.0,18344.0,59209.0,181489.0,-122280.0,4754.0,-0.30177615553762205,0.04527135915261808,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,65876.0,71065.0,4045.0,47625.0,16029.0,40861.0,35541.0,STRICT,,2026-05-25T06:02:16+00:00,-5794.0,0.5,0.7071067811865475,-0.7071067811865476,,,,,,,,
ZW,SRW Wheat,GRAIN,2023-06-13,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,382620.0,68677.0,55893.0,12784.0,59936.0,176483.0,-116547.0,5733.0,-0.30460247765406934,0.03341174010767864,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,64931.0,71324.0,3532.0,44408.0,14688.0,39896.0,33645.0,STRICT,,2026-05-25T06:02:16+00:00,-5560.0,0.3333333333333333,1.0296234640885507,-0.9930598764236738,,,,,,,,
ZW,SRW Wheat,GRAIN,2023-06-20,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,353865.0,53305.0,56348.0,-3043.0,58381.0,148820.0,-90439.0,26108.0,-0.25557486612126096,-0.00859932460118972,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,58262.0,72014.0,5109.0,39765.0,15690.0,35384.0,32882.0,STRICT,,2026-05-25T06:02:16+00:00,-15827.0,0.25,1.4473772681996542,-1.3770425981366938,,,,,,,,
ZW,SRW Wheat,GRAIN,2023-06-27,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,299609.0,43726.0,58495.0,-14769.0,58161.0,113090.0,-54929.0,35510.0,-0.18333561408368906,-0.04929424683504167,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,42628.0,72971.0,6910.0,23865.0,16113.0,29487.0,33602.0,STRICT,,2026-05-25T06:02:16+00:00,-11726.0,0.2,1.5775272057265015,-1.387584436360434,,,,,,,,
ZW,SRW Wheat,GRAIN,2023-07-03,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,297933.0,40719.0,58289.0,-17570.0,58873.0,115272.0,-56399.0,-1470.0,-0.18930095021363863,-0.05897299057170572,0.8333333333333334,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,43809.0,73702.0,5079.0,24681.0,13746.0,27557.0,33146.0,STRICT,,2026-05-25T06:02:16+00:00,-2801.0,0.16666666666666666,1.167955550500091,-1.1850735928954683,,,,,,,,
ZW,SRW Wheat,GRAIN,2023-07-11,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,297146.0,40835.0,63908.0,-23073.0,56379.0,110788.0,-54409.0,1990.0,-0.1831052748480545,-0.07764869794646402,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,48872.0,72629.0,4050.0,26367.0,12369.0,27096.0,32191.0,STRICT,,2026-05-25T06:02:16+00:00,-5503.0,0.14285714285714285,1.0283372767648997,-1.1949303336121857,,,,,,,,
ZW,SRW Wheat,GRAIN,2023-07-18,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,303407.0,39949.0,65197.0,-25248.0,57247.0,114256.0,-57009.0,-2600.0,-0.18789612632536493,-0.08321495548883183,0.625,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,51168.0,71648.0,3365.0,28671.0,10365.0,27939.0,32271.0,STRICT,,2026-05-25T06:02:16+00:00,-2175.0,0.125,0.8446026216996546,-1.1071577228509974,,,,,,,,
ZW,SRW Wheat,GRAIN,2023-07-25,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,311339.0,40960.0,81926.0,-40966.0,57876.0,99985.0,-42109.0,14900.0,-0.1352512855761726,-0.13158004618759617,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,50503.0,72990.0,4623.0,32540.0,10986.0,28164.0,35010.0,STRICT,,2026-05-25T06:02:16+00:00,-15718.0,0.1111111111111111,1.1181504740568082,-1.5000880061363089,,,,,,,,
ZW,SRW Wheat,GRAIN,2023-08-01,DISAGGREGATED_FUTURES_ONLY,WHEAT-SRW - CHICAGO BOARD OF TRADE,324589.0,42775.0,83127.0,-40352.0,57652.0,114672.0,-57020.0,-14911.0,-0.17566830668938258,-0.12431721346071493,0.5,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,001602,52663.0,76911.0,4679.0,40677.0,9734.0,31106.0,36909.0,STRICT,,2026-05-25T06:02:16+00:00,614.0,0.2,0.6325330700985372,-1.2602318321552262,,,,,,,,
