instrument,commodity_label,asset_class,report_date,report_type,market_and_exchange_name,open_interest,producer_merchant_long,producer_merchant_short,producer_merchant_net,managed_money_long,managed_money_short,managed_money_net,managed_money_net_chg_1w,managed_money_net_pct_oi,producer_merchant_net_pct_oi,managed_money_net_percentile,commercial_long,commercial_short,commercial_net,noncommercial_long,noncommercial_short,noncommercial_net,legacy_noncommercial_net_percentile,source_id,raw_source_url,tos_status,gatekeeper_cleared,gatekeeper_id,cftc_contract_market_code,managed_money_spreading,swap_long,swap_short,other_reportable_long,other_reportable_short,nonreportable_long,nonreportable_short,source_mapping_status,source_mapping_note,normalized_at,producer_merchant_net_chg_1w,producer_merchant_net_percentile,managed_money_net_zscore,producer_merchant_net_zscore,commercial_net_pct_oi,noncommercial_net_pct_oi,noncommercial_spreading,noncommercial_net_chg_1w,commercial_net_chg_1w,legacy_commercial_net_percentile,legacy_noncommercial_net_zscore,legacy_commercial_net_zscore
SI,Silver,METAL,2023-05-30,DISAGGREGATED_FUTURES_ONLY,SILVER - COMMODITY EXCHANGE INC.,133619.0,1977.0,28328.0,-26351.0,39203.0,29929.0,9274.0,,0.06940629700865895,-0.19720997762294284,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,084691,6847.0,37782.0,45967.0,15634.0,3784.0,25484.0,12072.0,STRICT,,2026-05-25T19:58:33+00:00,,1.0,,,,,,,,,,
SI,Silver,METAL,2023-06-06,DISAGGREGATED_FUTURES_ONLY,SILVER - COMMODITY EXCHANGE INC.,137871.0,3166.0,28480.0,-25314.0,37526.0,27531.0,9995.0,721.0,0.07249530358088357,-0.18360641469199468,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,084691,9065.0,37488.0,46239.0,15623.0,4143.0,25871.0,13281.0,STRICT,,2026-05-25T19:58:33+00:00,1037.0,1.0,0.7071067811865475,0.7071067811865475,,,,,,,,
SI,Silver,METAL,2023-06-13,DISAGGREGATED_FUTURES_ONLY,SILVER - COMMODITY EXCHANGE INC.,153853.0,3645.0,30602.0,-26957.0,38968.0,25971.0,12997.0,3002.0,0.08447674078503506,-0.17521270303471495,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,084691,15051.0,35814.0,47327.0,16086.0,5347.0,27249.0,12515.0,STRICT,,2026-05-25T19:58:33+00:00,-1643.0,0.3333333333333333,1.1352921976326806,-0.902268816031752,,,,,,,,
SI,Silver,METAL,2023-06-20,DISAGGREGATED_FUTURES_ONLY,SILVER - COMMODITY EXCHANGE INC.,152633.0,3835.0,31055.0,-27220.0,37289.0,27033.0,10256.0,-2741.0,0.06719385716064023,-0.17833627066230762,0.75,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,084691,16000.0,35965.0,44955.0,15258.0,5456.0,28208.0,12056.0,STRICT,,2026-05-25T19:58:33+00:00,-263.0,0.25,-0.22955560795570376,-0.8971991867315392,,,,,,,,
SI,Silver,METAL,2023-06-27,DISAGGREGATED_FUTURES_ONLY,SILVER - COMMODITY EXCHANGE INC.,123491.0,2481.0,29487.0,-27006.0,33247.0,22341.0,10906.0,650.0,0.08831412815508823,-0.21868800155476917,0.8,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,084691,6530.0,36829.0,39150.0,12736.0,4590.0,23415.0,13140.0,STRICT,,2026-05-25T19:58:33+00:00,214.0,0.4,0.15540748900530751,-0.5648201712861579,,,,,,,,
SI,Silver,METAL,2023-07-03,DISAGGREGATED_FUTURES_ONLY,SILVER - COMMODITY EXCHANGE INC.,114421.0,911.0,29309.0,-28398.0,32849.0,23053.0,9796.0,-1110.0,0.08561365483608778,-0.2481887066185403,0.3333333333333333,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,084691,5313.0,35261.0,36432.0,13584.0,5390.0,23020.0,11441.0,STRICT,,2026-05-25T19:58:33+00:00,-1392.0,0.16666666666666666,-0.5618504653118473,-1.4978659506682659,,,,,,,,
SI,Silver,METAL,2023-07-11,DISAGGREGATED_FUTURES_ONLY,SILVER - COMMODITY EXCHANGE INC.,120282.0,877.0,30585.0,-29708.0,31522.0,26024.0,5498.0,-4298.0,0.045709249929332736,-0.24698624898156,0.14285714285714285,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,084691,5276.0,35379.0,37320.0,19783.0,4989.0,23304.0,11947.0,STRICT,,2026-05-25T19:58:33+00:00,-1310.0,0.14285714285714285,-1.9166951341053653,-1.71344625441471,,,,,,,,
SI,Silver,METAL,2023-07-18,DISAGGREGATED_FUTURES_ONLY,SILVER - COMMODITY EXCHANGE INC.,146863.0,942.0,39079.0,-38137.0,53781.0,24092.0,29689.0,24191.0,0.2021543887841049,-0.2596773864077406,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,084691,4728.0,34242.0,52088.0,22639.0,8466.0,24540.0,12419.0,STRICT,,2026-05-25T19:58:33+00:00,-8429.0,0.125,2.3724684208576368,-2.3418062207192305,,,,,,,,
SI,Silver,METAL,2023-07-25,DISAGGREGATED_FUTURES_ONLY,SILVER - COMMODITY EXCHANGE INC.,146898.0,1442.0,35579.0,-34137.0,48131.0,28530.0,19601.0,-10088.0,0.13343272202480633,-0.23238573704202917,0.8888888888888888,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,084691,6254.0,34645.0,50226.0,24655.0,7331.0,24478.0,11685.0,STRICT,,2026-05-25T19:58:33+00:00,4000.0,0.2222222222222222,0.8919500952153455,-1.160100601172394,,,,,,,,
SI,Silver,METAL,2023-08-01,DISAGGREGATED_FUTURES_ONLY,SILVER - COMMODITY EXCHANGE INC.,144138.0,1638.0,33314.0,-31676.0,44578.0,31920.0,12658.0,-6943.0,0.0878186182686037,-0.21976161733893906,0.7,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,084691,6689.0,35249.0,47585.0,23885.0,5712.0,24416.0,11235.0,STRICT,,2026-05-25T19:58:33+00:00,2461.0,0.3,-0.05962066058892846,-0.5400333664955723,,,,,,,,
