instrument,commodity_label,asset_class,report_date,report_type,market_and_exchange_name,open_interest,producer_merchant_long,producer_merchant_short,producer_merchant_net,managed_money_long,managed_money_short,managed_money_net,managed_money_net_chg_1w,managed_money_net_pct_oi,producer_merchant_net_pct_oi,managed_money_net_percentile,commercial_long,commercial_short,commercial_net,noncommercial_long,noncommercial_short,noncommercial_net,legacy_noncommercial_net_percentile,source_id,raw_source_url,tos_status,gatekeeper_cleared,gatekeeper_id,cftc_contract_market_code,managed_money_spreading,swap_long,swap_short,other_reportable_long,other_reportable_short,nonreportable_long,nonreportable_short,source_mapping_status,source_mapping_note,normalized_at,producer_merchant_net_chg_1w,producer_merchant_net_percentile,managed_money_net_zscore,producer_merchant_net_zscore,commercial_net_pct_oi,noncommercial_net_pct_oi,noncommercial_spreading,noncommercial_net_chg_1w,commercial_net_chg_1w,legacy_commercial_net_percentile,legacy_noncommercial_net_zscore,legacy_commercial_net_zscore
ZC,Corn,GRAIN,2023-05-30,DISAGGREGATED_FUTURES_ONLY,CORN - CHICAGO BOARD OF TRADE,1319205.0,399553.0,572169.0,-172616.0,176111.0,222957.0,-46846.0,,-0.035510781114383286,-0.1308485034547322,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,002602,107901.0,261381.0,16555.0,98845.0,72406.0,115112.0,166915.0,STRICT,,2026-05-25T19:58:03+00:00,,1.0,,,,,,,,,,
ZC,Corn,GRAIN,2023-06-06,DISAGGREGATED_FUTURES_ONLY,CORN - CHICAGO BOARD OF TRADE,1322137.0,387359.0,564065.0,-176706.0,166101.0,210647.0,-44546.0,2300.0,-0.033692423704956447,-0.13365180764171944,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,002602,123788.0,261573.0,18747.0,102662.0,72887.0,117595.0,168944.0,STRICT,,2026-05-25T19:58:03+00:00,-4090.0,0.5,0.7071067811865476,-0.7071067811865476,,,,,,,,
ZC,Corn,GRAIN,2023-06-13,DISAGGREGATED_FUTURES_ONLY,CORN - CHICAGO BOARD OF TRADE,1295247.0,378613.0,600483.0,-221870.0,174652.0,172797.0,1855.0,46401.0,0.001432159271552067,-0.17129551351981515,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,002602,139006.0,254882.0,20162.0,105162.0,61925.0,118468.0,176410.0,STRICT,,2026-05-25T19:58:03+00:00,-45164.0,0.3333333333333333,1.153688805363495,-1.1514640893853743,,,,,,,,
ZC,Corn,GRAIN,2023-06-20,DISAGGREGATED_FUTURES_ONLY,CORN - CHICAGO BOARD OF TRADE,1290348.0,348724.0,645616.0,-296892.0,221039.0,154978.0,66061.0,64206.0,0.05119626643355126,-0.23008676729068436,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,002602,134942.0,259676.0,20814.0,121086.0,68374.0,121205.0,181948.0,STRICT,,2026-05-25T19:58:03+00:00,-75022.0,0.25,1.3586531011361636,-1.3834068060102773,,,,,,,,
ZC,Corn,GRAIN,2023-06-27,DISAGGREGATED_FUTURES_ONLY,CORN - CHICAGO BOARD OF TRADE,1246075.0,353822.0,633945.0,-280123.0,188486.0,121725.0,66761.0,700.0,0.05357703188010352,-0.22480428545633288,1.0,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,002602,148475.0,241166.0,21072.0,107700.0,61023.0,120815.0,174224.0,STRICT,,2026-05-25T19:58:03+00:00,16769.0,0.4,1.0340859659580615,-0.8792554961252494,,,,,,,,
ZC,Corn,GRAIN,2023-07-03,DISAGGREGATED_FUTURES_ONLY,CORN - CHICAGO BOARD OF TRADE,1246983.0,368816.0,579341.0,-210525.0,161939.0,169298.0,-7359.0,-74120.0,-0.005901443724573631,-0.16882748201058073,0.5,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,002602,161003.0,229278.0,18229.0,108833.0,55071.0,122354.0,169281.0,STRICT,,2026-05-25T19:58:03+00:00,69598.0,0.6666666666666666,-0.2633501944650958,0.3066928684957326,,,,,,,,
ZC,Corn,GRAIN,2023-07-11,DISAGGREGATED_FUTURES_ONLY,CORN - CHICAGO BOARD OF TRADE,1241940.0,369274.0,536044.0,-166770.0,154200.0,210367.0,-56167.0,-48808.0,-0.04522521216805965,-0.1342818493647036,0.14285714285714285,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,002602,166048.0,217138.0,15153.0,113996.0,50018.0,129084.0,172110.0,STRICT,,2026-05-25T19:58:03+00:00,43755.0,1.0,-1.0267518475499975,0.9742792681140263,,,,,,,,
ZC,Corn,GRAIN,2023-07-18,DISAGGREGATED_FUTURES_ONLY,CORN - CHICAGO BOARD OF TRADE,1285176.0,391882.0,563749.0,-171867.0,152673.0,198823.0,-46150.0,10017.0,-0.03590947854612909,-0.13373032176137742,0.375,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,002602,179060.0,217648.0,14513.0,118049.0,52029.0,122460.0,173598.0,STRICT,,2026-05-25T19:58:03+00:00,-5097.0,0.875,-0.7508024392704322,0.786122881287543,,,,,,,,
ZC,Corn,GRAIN,2023-07-25,DISAGGREGATED_FUTURES_ONLY,CORN - CHICAGO BOARD OF TRADE,1280207.0,384081.0,591119.0,-207038.0,180113.0,155059.0,25054.0,71204.0,0.019570272619974738,-0.1617222839743885,0.7777777777777778,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,002602,158746.0,219552.0,19480.0,111518.0,66096.0,114321.0,177831.0,STRICT,,2026-05-25T19:58:03+00:00,-35171.0,0.5555555555555556,0.6118969163606843,0.09508018103732604,,,,,,,,
ZC,Corn,GRAIN,2023-08-01,DISAGGREGATED_FUTURES_ONLY,CORN - CHICAGO BOARD OF TRADE,1317852.0,390366.0,601581.0,-211215.0,188722.0,176047.0,12675.0,-12379.0,0.009617923712222616,-0.16027217016781853,0.7,,,,,,,,CFTC_DISAGG_FUTURES_ONLY,https://publicreporting.cftc.gov/resource/72hh-3qpy.json,GO,True,LOCAL_PROTO,002602,153840.0,210510.0,17517.0,118710.0,51311.0,117235.0,179087.0,STRICT,,2026-05-25T19:58:03+00:00,-4177.0,0.4,0.3378136967969549,0.007673881371554289,,,,,,,,
