series_key,document_target,source_mapping_status,proxy_for,source_id,instrument,delivery_point,timestamp,data_type,value,unit,price_low,price_high,price_method,price_unit_raw,slug_id,slug_name,report_title,published_date,commodity_raw,class_raw,grade,protein,delivery_point_raw,market_location_name,market_location_city,market_location_state,trade_loc,location_state,location_city,quote_type,sale_type,basis_unit,basis_min,basis_max,freight,delivery_raw,proxy_keyword_hits,proxy_reason,tos_status,gatekeeper_cleared,gatekeeper_id,raw_source_url
SRW_WHEAT,SRW_WHEAT,STRICT,,USDA_AMS_SRW_WHEAT_BID,SRW_WHEAT,US_SRW_GRAIN_BIDS,05/19/2026,ELEVATOR_BID,8.1725,USD_PER_BUSHEL,8.1725,8.1725,avg_price,$ Per Bushel,2787,AMS_2787,South Carolina Daily Grain Bids,05/19/2026 13:09:55,Wheat,Soft Red Winter,US #2,Ordinary,Mills and Processors,Grain - South Carolina,Columbia,SC,Central,SC,Columbia,Basis,Bid,¢/Bu,150,150,Delivered,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/2787/Report%20Detail
SRW_WHEAT,SRW_WHEAT,STRICT,,USDA_AMS_SRW_WHEAT_BID,SRW_WHEAT,US_SRW_GRAIN_BIDS,05/19/2026,ELEVATOR_BID,6.2725,USD_PER_BUSHEL,6.2725,6.2725,avg_price,$ Per Bushel,2787,AMS_2787,South Carolina Daily Grain Bids,05/19/2026 13:09:55,Wheat,Soft Red Winter,US #2,Ordinary,Country Elevators,Grain - South Carolina,Columbia,SC,,SC,Anderson,Basis,Bid,¢/Bu,-40,-40,Delivered,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/2787/Report%20Detail
SRW_WHEAT,SRW_WHEAT,STRICT,,USDA_AMS_SRW_WHEAT_BID,SRW_WHEAT,US_SRW_GRAIN_BIDS,05/19/2026,ELEVATOR_BID,5.15,USD_PER_BUSHEL,5.15,5.15,avg_price,$ Per Bushel,2787,AMS_2787,South Carolina Daily Grain Bids,05/19/2026 13:09:55,Wheat,Soft Red Winter,US #2,Ordinary,Mills and Processors,Grain - South Carolina,Columbia,SC,,SC,Cassatt,Price,Bid,,,,Delivered,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/2787/Report%20Detail
SRW_WHEAT,SRW_WHEAT,STRICT,,USDA_AMS_SRW_WHEAT_BID,SRW_WHEAT,US_SRW_GRAIN_BIDS,05/19/2026,ELEVATOR_BID,6.5225,USD_PER_BUSHEL,6.4725,6.5725,avg_price,$ Per Bushel,2851,AMS_2851,Ohio Daily Grain Bids,05/19/2026 13:55:44,Wheat,Soft Red Winter,US #2,Ordinary,Terminal Elevators,Grain - Ohio,Columbus,OH,Toledo - On River,,,Basis,Bid,¢/Bu,-20,-10,Delivered,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/2851/Report%20Detail
SRW_WHEAT,SRW_WHEAT,STRICT,,USDA_AMS_SRW_WHEAT_BID,SRW_WHEAT,US_SRW_GRAIN_BIDS,05/19/2026,ELEVATOR_BID,6.4725,USD_PER_BUSHEL,6.4225,6.5225,avg_price,$ Per Bushel,2851,AMS_2851,Ohio Daily Grain Bids,05/19/2026 13:55:44,Wheat,Soft Red Winter,US #2,Ordinary,Terminal Elevators,Grain - Ohio,Columbus,OH,Toledo - Off River,,,Basis,Bid,¢/Bu,-25,-15,Delivered,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/2851/Report%20Detail
SRW_WHEAT,SRW_WHEAT,STRICT,,USDA_AMS_SRW_WHEAT_BID,SRW_WHEAT,US_SRW_GRAIN_BIDS,05/19/2026,ELEVATOR_BID,6.4475,USD_PER_BUSHEL,6.3725,6.5225,avg_price,$ Per Bushel,2851,AMS_2851,Ohio Daily Grain Bids,05/19/2026 13:55:44,Wheat,Soft Red Winter,US #2,Ordinary,Terminal Elevators,Grain - Ohio,Columbus,OH,Toledo - Off River,,,Basis,Bid,¢/Bu,-30,-15,Delivered,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/2851/Report%20Detail
SRW_WHEAT,SRW_WHEAT,STRICT,,USDA_AMS_SRW_WHEAT_BID,SRW_WHEAT,US_SRW_GRAIN_BIDS,05/19/2026,ELEVATOR_BID,6.3525,USD_PER_BUSHEL,6.3525,6.3525,avg_price,$ Per Bushel,2851,AMS_2851,Ohio Daily Grain Bids,05/19/2026 13:55:44,Wheat,Soft Red Winter,US #2,Ordinary,Barge Loading Elevators,Grain - Ohio,Columbus,OH,Ohio River,,,Basis,Bid,¢/Bu,-32,-32,Delivered,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/2851/Report%20Detail
SRW_WHEAT,SRW_WHEAT,STRICT,,USDA_AMS_SRW_WHEAT_BID,SRW_WHEAT,US_SRW_GRAIN_BIDS,05/19/2026,ELEVATOR_BID,6.1725,USD_PER_BUSHEL,6.1725,6.1725,avg_price,$ Per Bushel,2851,AMS_2851,Ohio Daily Grain Bids,05/19/2026 13:55:44,Wheat,Soft Red Winter,US #2,Ordinary,Country Elevators,Grain - Ohio,Columbus,OH,East,,,Basis,Bid,¢/Bu,-50,-50,Delivered,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/2851/Report%20Detail
SRW_WHEAT,SRW_WHEAT,STRICT,,USDA_AMS_SRW_WHEAT_BID,SRW_WHEAT,US_SRW_GRAIN_BIDS,05/19/2026,ELEVATOR_BID,5.96,USD_PER_BUSHEL,5.9225,5.9725,avg_price,$ Per Bushel,2851,AMS_2851,Ohio Daily Grain Bids,05/19/2026 13:55:44,Wheat,Soft Red Winter,US #2,Ordinary,Country Elevators,Grain - Ohio,Columbus,OH,East,,,Basis,Bid,¢/Bu,-75,-70,Delivered,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/2851/Report%20Detail
SRW_WHEAT,SRW_WHEAT,STRICT,,USDA_AMS_SRW_WHEAT_BID,SRW_WHEAT,US_SRW_GRAIN_BIDS,05/20/2026,ELEVATOR_BID,8.105,USD_PER_BUSHEL,8.105,8.105,avg_price,$ Per Bushel,2787,AMS_2787,South Carolina Daily Grain Bids,05/20/2026 13:29:39,Wheat,Soft Red Winter,US #2,Ordinary,Mills and Processors,Grain - South Carolina,Columbia,SC,Central,SC,Columbia,Basis,Bid,¢/Bu,150,150,Delivered,,,,GO,True,LOCAL_PROTO,https://marsapi.ams.usda.gov/services/v1.2/reports/2787/Report%20Detail
